#{"t_start": 1620860163.5016422, "env_id": "octorotor-v0"}
r,l,t
1634.340526,1,4.586486
1780.706294,1,5.773239
1848.434445,1,6.978698
1793.027812,1,8.155504
1755.167229,1,9.342803
1838.139857,1,10.531864
1790.180676,1,11.718555
1792.866449,1,12.907707
1755.945403,1,14.080099
1792.554039,1,15.162468
1828.823502,1,16.278002
1805.962987,1,17.464575
1755.042259,1,18.646387
1864.237444,1,19.841192
1838.258835,1,21.022885
1805.331008,1,22.202059
1785.14233,1,23.37365
1571.483965,1,24.535351
1757.312814,1,25.734465
1843.321173,1,26.933681
1734.550293,1,28.139321
1749.983644,1,29.259957
1772.058116,1,30.402802
1795.538584,1,31.59139
1769.505635,1,32.80998
1624.452874,1,33.988019
1836.703443,1,35.19983
1755.502702,1,36.535792
1575.561322,1,37.864833
1832.648353,1,39.08892
1835.233416,1,40.311862
1835.84619,1,41.531105
1783.304852,1,42.735427
1830.983485,1,44.030735
1803.335203,1,45.306895
1851.580601,1,46.580109
1775.607204,1,47.812876
1797.211445,1,49.101538
1549.892227,1,50.360528
1814.266463,1,51.747777
1844.869241,1,53.198081
1835.958262,1,54.420251
1845.875432,1,55.707966
1792.191505,1,56.957449
1774.087796,1,58.080001
1833.69465,1,59.204232
1840.458998,1,60.452608
1768.955835,1,61.741241
1818.715701,1,62.89378
1781.356497,1,64.143625
1815.171344,1,65.441796
1829.835333,1,66.679052
1813.074605,1,67.856253
1743.350244,1,69.250957
1647.944065,1,70.578297
1738.323351,1,71.939922
1754.506803,1,73.458011
1778.246659,1,74.780203
1832.366462,1,76.000836
1808.851876,1,77.213991
1810.278452,1,78.420703
1819.873447,1,79.679614
1645.861651,1,80.967255
1785.506509,1,82.219715
1817.630066,1,83.451714
1781.09021,1,84.594594
1813.403485,1,85.875383
1818.298537,1,87.086724
1750.896723,1,88.263943
1774.955403,1,89.593864
1846.896432,1,90.903779
1699.272006,1,92.244927
1537.928357,1,93.546577
1800.560392,1,94.847481
1797.657484,1,96.172781
1832.020207,1,97.419677
1816.992325,1,98.707508
1761.943215,1,100.000195
1626.122707,1,101.352702
1831.56282,1,102.654893
1740.945456,1,103.934802
1767.153508,1,105.138163
1839.926206,1,106.396557
1798.346255,1,107.777779
1842.527288,1,109.340304
1849.170408,1,110.860491
1676.211789,1,112.266215
1807.398271,1,113.630868
1818.027467,1,114.901054
1730.745435,1,116.301762
1537.669782,1,117.715036
1798.155282,1,119.112076
1589.92198,1,120.527271
1622.141561,1,121.952505
1867.848662,1,123.422903
1667.190652,1,125.228475
1742.638885,1,126.918195
1808.666774,1,128.491961
1710.343983,1,130.051134
1804.944009,1,131.527061
1829.34081,1,133.127043
1826.670545,1,134.687843
1819.239449,1,136.209844
1819.134245,1,137.849774
1825.710735,1,139.57903
1822.120832,1,141.463792
1833.117667,1,143.226082
1839.216518,1,145.126931
1834.089482,1,147.153144
1839.802894,1,148.787182
1828.115503,1,150.466443
1826.244786,1,152.328575
1826.19086,1,154.538759
1832.371242,1,156.827881
1828.518637,1,159.067264
1828.859827,1,161.335916
1838.740783,1,163.647036
1833.226033,1,165.917096
1837.564666,1,168.093555
1832.561917,1,170.149004
1828.492226,1,172.212729
1836.45362,1,174.127089
1829.109872,1,176.128793
1835.145573,1,177.972866
1829.938837,1,179.762042
1821.378964,1,181.243665
1829.826983,1,182.669946
1833.437781,1,184.199744
1836.623488,1,186.422087
1832.728274,1,188.49311
1837.328317,1,190.5528
1830.916343,1,192.164448
1834.410864,1,193.867014
1829.836838,1,195.332058
1831.586905,1,196.796692
1837.304488,1,198.323321
1832.409303,1,199.805256
1828.750884,1,201.395759
1824.624646,1,202.895201
1831.931957,1,204.482607
1833.545446,1,206.04063
1827.567239,1,207.542593
1831.199937,1,209.109022
1823.205375,1,210.601426
1832.12937,1,212.165091
1829.52229,1,213.557691
1832.12937,1,215.063848
1832.12937,1,216.580778
1829.878162,1,218.033347
1833.300304,1,219.546875
1833.300304,1,221.086681
1827.20493,1,222.501525
1835.527532,1,223.995725
1835.527532,1,225.486868
1826.801328,1,226.89607
1826.801328,1,228.306848
1827.20493,1,229.632608
1827.20493,1,231.034815
1827.20493,1,232.430507
1827.20493,1,233.804177
1827.20493,1,235.220733
1827.20493,1,236.583123
1827.20493,1,237.943263
1827.20493,1,239.280148
1827.20493,1,240.647324
1827.877758,1,242.048705
1827.877758,1,243.47984
1827.877758,1,244.900731
1827.877758,1,246.326804
1827.877758,1,247.724748
1827.877758,1,249.083917
1827.877758,1,250.448718
1827.877758,1,251.816222
1827.877758,1,253.20957
1827.877758,1,254.574035
1827.877758,1,255.929657
1827.877758,1,257.32958
1828.800536,1,258.726678
1828.800536,1,260.092072
1828.800536,1,261.454624
1828.800536,1,262.928163
1828.800536,1,264.355103
1828.800536,1,265.783296
1828.502778,1,267.360214
1828.502778,1,268.840717
1828.502778,1,270.324497
1828.502778,1,271.733826
