#{"t_start": 1620882742.271469, "env_id": "octorotor-v0"}
r,l,t
1742.280747,1,6.865865
1860.300562,1,8.560133
1806.571255,1,10.13844
1808.300558,1,11.670404
1808.164568,1,13.165429
1629.442699,1,14.910096
1762.982315,1,16.513953
1747.161154,1,18.105757
1695.565424,1,19.688113
1781.905329,1,21.515877
1688.061858,1,23.168924
1811.321393,1,24.739243
1772.205969,1,26.621071
1760.930556,1,28.448293
1493.972429,1,30.088589
1806.299617,1,31.845641
1790.061053,1,33.560743
1810.958405,1,35.37341
1725.131131,1,37.122098
1842.71078,1,38.980343
1767.421743,1,40.697613
1819.621583,1,42.454632
1802.893614,1,44.15249
1794.400446,1,45.974301
1715.987011,1,47.815471
1736.983301,1,49.634852
1737.347116,1,51.568537
1811.054117,1,53.406372
1817.703564,1,55.401623
1824.492395,1,57.335698
1712.814466,1,59.822639
1808.740584,1,62.286978
1824.813358,1,64.464212
1806.960468,1,66.778803
1800.301127,1,69.315578
1796.493938,1,71.58906
1792.68059,1,74.230686
1676.305309,1,76.689708
1817.868315,1,78.780652
1526.664767,1,81.378596
1802.025181,1,83.652833
1685.953249,1,85.783602
1788.413394,1,87.569709
1801.563479,1,89.302521
1845.031704,1,91.17984
1810.860628,1,93.022676
1789.917256,1,94.76967
1796.075096,1,96.561836
1806.445504,1,98.384535
1825.008307,1,100.193552
1759.422504,1,101.690619
1842.80188,1,103.453209
1780.574708,1,105.167
1771.036994,1,106.887112
1788.602287,1,108.694664
1809.572297,1,110.25439
1734.796362,1,111.969849
1840.274893,1,113.709058
1783.75072,1,115.426367
1793.456879,1,117.280996
1697.466303,1,119.259534
1839.663179,1,121.241323
1800.352358,1,123.132386
1482.902906,1,124.906218
1822.381744,1,126.749993
1812.11343,1,128.585824
1803.153936,1,130.317803
1835.563819,1,132.239476
1732.961841,1,134.119794
1815.507964,1,136.036315
1829.104753,1,137.843498
1804.522039,1,139.741352
1597.897768,1,141.611628
1839.305669,1,143.486697
141.436524,1,143.780543
1760.936174,1,145.549124
1762.048666,1,147.367728
1527.148014,1,149.347263
1789.717004,1,151.223832
1647.701744,1,153.064791
1745.3738,1,154.925969
1803.095304,1,156.669059
1840.708055,1,158.608428
1798.635787,1,160.434529
1837.418455,1,162.184779
1711.572278,1,163.963686
1641.416851,1,165.84037
1506.461393,1,167.670507
1799.744406,1,169.517494
1814.774525,1,171.267091
1516.375352,1,173.130624
1792.740591,1,174.8634
1851.098125,1,176.778696
1806.912492,1,178.57065
1784.476427,1,180.337167
1704.737827,1,182.200237
1763.447668,1,184.053389
1724.46465,1,185.902861
1752.305469,1,187.730745
1793.250024,1,189.678983
1838.210435,1,191.475706
1838.210435,1,193.222823
1838.210435,1,194.982999
1838.210435,1,196.7434
1558.039097,1,198.477808
1558.039097,1,200.210565
1838.210435,1,201.950457
1838.210435,1,203.733671
1838.210435,1,205.536892
1558.039097,1,207.263543
1558.039097,1,209.003307
1838.210435,1,210.7593
1838.210435,1,212.451254
1558.039097,1,214.123367
1558.039097,1,215.794953
1558.039097,1,217.500672
1838.210435,1,219.160702
1558.039097,1,220.839492
1838.210435,1,222.604107
1558.039097,1,224.336719
1838.210435,1,226.023146
1838.210435,1,227.654282
1558.039097,1,229.263699
1558.039097,1,230.945171
1838.210435,1,232.824161
1558.039097,1,234.591726
1558.039097,1,236.352664
1558.039097,1,238.110217
1558.039097,1,239.918103
1558.039097,1,241.592465
1838.210435,1,243.293822
1558.039097,1,244.93685
1838.210435,1,246.575598
1558.039097,1,248.203388
1558.039097,1,249.847028
1558.039097,1,251.599174
1558.039097,1,253.615322
