#{"t_start": 1620845639.3626688, "env_id": "octorotor-v0"}
r,l,t
1826.121179,1,4.622821
1776.198203,1,5.85489
1751.80501,1,7.073102
1848.021072,1,8.291202
1815.179224,1,9.515355
1835.274334,1,10.734497
1595.794172,1,11.950363
1738.28129,1,13.129649
137.64815,1,13.453383
1799.740219,1,15.13624
1786.980248,1,16.723867
1610.613583,1,17.946784
1809.926134,1,19.493773
1836.867837,1,20.935361
202.05771,1,21.152142
1800.2804,1,22.366756
1775.329612,1,23.59332
1805.337626,1,24.79026
1813.312257,1,25.987952
1758.410346,1,27.274581
1800.795464,1,28.56944
1742.994576,1,29.797148
1809.396949,1,31.014884
1787.113591,1,32.25518
1538.50891,1,33.497248
1794.425499,1,34.745868
1822.591139,1,35.875207
1788.123954,1,37.014193
1764.120749,1,38.234872
1748.065373,1,39.465267
1755.3501,1,40.685503
1590.767274,1,41.930954
1749.186536,1,43.092991
1816.367638,1,44.30115
1822.006276,1,45.486435
1764.249496,1,46.702374
1795.140036,1,47.917902
1815.805223,1,49.080051
1743.839701,1,50.312464
1766.657883,1,51.525985
1594.783758,1,52.745862
1768.148713,1,53.955569
1766.425421,1,55.148304
1622.531488,1,56.39765
1626.546257,1,57.634737
1775.96384,1,58.878148
1811.83592,1,60.126205
1765.189332,1,61.356246
1838.410708,1,62.593414
1785.856683,1,63.888125
1827.531254,1,65.127975
1825.186504,1,66.309268
1741.951041,1,67.57059
1758.387774,1,68.828154
229.51093,1,69.086737
1829.105693,1,70.318889
1755.324441,1,71.582515
1802.676183,1,72.758011
1808.265713,1,73.975817
1766.951912,1,75.202068
1823.608423,1,76.451578
1815.516842,1,77.703148
1728.933474,1,78.916345
1504.75157,1,80.176501
1814.054338,1,81.425223
1696.280212,1,82.675708
1517.688968,1,83.886563
1825.961979,1,85.080086
1779.237697,1,86.280695
1808.412797,1,87.502057
1761.695293,1,88.732888
1779.613415,1,89.91037
1819.714243,1,91.126732
1789.310615,1,92.297482
1462.57071,1,93.484155
1731.117879,1,94.710256
1735.832917,1,95.958872
1795.730607,1,97.174206
1729.049457,1,98.375993
1844.017233,1,99.613188
1719.203655,1,100.834961
1841.720743,1,102.048379
1786.791827,1,103.284815
1772.553813,1,104.543233
1698.445806,1,105.85131
