#{"t_start": 1620878632.2993696, "env_id": "octorotor-v0"}
r,l,t
1519.519261,1,6.838762
1519.519261,1,8.508298
1515.751775,1,10.099102
1850.646485,1,11.573085
1850.646485,1,13.046377
1697.392345,1,14.725558
1519.519261,1,16.272734
1519.519261,1,17.782227
1850.646485,1,19.23425
1850.646485,1,20.716843
1864.864778,1,22.377444
1519.519261,1,23.882909
1850.646485,1,25.386861
1519.519261,1,26.943901
1850.646485,1,28.491111
1850.646485,1,30.167574
1850.646485,1,31.841485
1854.806048,1,33.603667
1517.394346,1,35.443404
1519.519261,1,37.380589
1519.519261,1,40.042748
1824.857188,1,42.846884
1519.519261,1,45.106016
1519.519261,1,47.138183
1519.519261,1,49.171562
1851.819418,1,51.584618
1519.519261,1,53.483057
1519.519261,1,55.415102
1519.519261,1,57.664138
1850.646485,1,59.95024
1519.519261,1,61.899975
1519.519261,1,64.107712
1860.355798,1,66.178754
1850.646485,1,67.878823
1855.284268,1,69.739134
1519.519261,1,72.033455
1519.519261,1,73.751226
1850.646485,1,75.307262
1850.646485,1,76.950859
1862.748213,1,78.839085
305.935782,1,79.355958
1850.646485,1,80.982269
1850.646485,1,82.611941
1856.085544,1,84.674325
1519.519261,1,86.607713
1519.519261,1,88.551875
1519.519261,1,90.390688
1850.646485,1,92.452532
1519.519261,1,94.915625
1519.519261,1,96.836754
1519.519261,1,98.652623
1850.646485,1,100.873327
1519.519261,1,102.801848
1519.519261,1,104.751153
1519.519261,1,106.719225
1519.519261,1,109.470835
1519.519261,1,111.299192
1519.519261,1,113.176341
1850.646485,1,114.890548
1850.646485,1,116.661183
1849.354752,1,119.442958
1850.646485,1,121.21908
1852.802433,1,123.193406
1519.519261,1,125.05756
1519.519261,1,127.862703
1519.519261,1,129.837065
1850.646485,1,131.669379
1519.519261,1,133.603847
1519.519261,1,135.58255
1850.646485,1,137.384631
1519.519261,1,139.344385
1850.646485,1,141.150969
1856.784243,1,143.997647
1850.646485,1,145.806721
1850.646485,1,147.615824
1519.519261,1,149.474706
1855.199944,1,152.105396
1856.140599,1,154.231868
1519.519261,1,156.027863
1519.519261,1,157.841234
1844.394546,1,159.920289
1850.646485,1,161.516932
1519.519261,1,163.23235
1519.519261,1,164.949887
1519.519261,1,166.785189
1850.646485,1,168.592915
1519.519261,1,170.320528
1519.519261,1,172.378705
1519.519261,1,174.249639
1850.646485,1,175.902622
1519.519261,1,177.70956
1519.519261,1,179.491702
1519.519261,1,181.265494
1519.519261,1,182.99846
1519.519261,1,184.824741
1850.646485,1,187.119662
1519.519261,1,189.064364
1850.646485,1,190.900277
1835.724355,1,192.924421
1839.136443,1,195.422953
1519.519261,1,197.347331
1824.857188,1,199.337762
1519.519261,1,201.220227
1850.646485,1,203.59192
1519.519261,1,205.450497
1576.023481,1,207.38025
1844.394546,1,209.370683
1850.646485,1,211.234727
1519.519261,1,213.806186
1859.959065,1,215.811275
1519.519261,1,217.778409
1519.519261,1,219.659143
1862.407645,1,222.353141
1519.519261,1,224.2453
1850.646485,1,226.003132
1860.910304,1,228.01293
1850.646485,1,230.417351
1828.389467,1,232.494762
1519.519261,1,234.377738
1860.908984,1,236.37443
1857.957858,1,238.748563
1850.646485,1,241.089198
1519.519261,1,242.926732
1783.482345,1,244.83049
1519.519261,1,246.753352
1850.646485,1,248.940918
1852.023431,1,250.965775
1519.519261,1,252.941334
1844.394546,1,255.039791
1846.684971,1,258.00515
1519.519261,1,260.10696
1519.519261,1,262.227405
1850.646485,1,264.097087
1865.370226,1,266.892075
1519.519261,1,268.712217
1858.588848,1,270.745302
1855.478629,1,272.689593
1850.646485,1,274.54007
1519.519261,1,277.086905
1838.070208,1,279.053653
1863.456952,1,281.147066
1863.738651,1,283.225011
1850.646485,1,285.994334
1850.646485,1,287.839808
1855.610625,1,289.896697
1519.519261,1,291.91583
1847.742513,1,293.949909
1519.519261,1,296.27435
1519.519261,1,298.231589
1519.519261,1,300.222487
1860.046766,1,302.384745
1841.015536,1,305.206706
1850.646485,1,306.906115
1861.346747,1,308.899145
