#{"t_start": 1620866601.2345157, "env_id": "octorotor-v0"}
r,l,t
1599.095147,1,8.132578
1746.161333,1,10.107203
1844.394546,1,12.219637
1560.221524,1,14.348736
1847.401367,1,16.277722
1630.66702,1,18.40592
1676.532686,1,20.543768
1828.389467,1,22.609059
1785.577524,1,24.878016
1828.389467,1,26.719852
1836.858412,1,28.657343
1711.911592,1,30.539057
1824.857188,1,32.358883
1855.366183,1,34.588958
1513.185769,1,36.746918
1502.618127,1,39.110294
1810.481523,1,41.398901
1791.422098,1,43.580211
1846.705658,1,45.873533
1531.543111,1,48.920232
1828.389467,1,51.822228
1514.742402,1,54.148226
1842.112779,1,56.199753
1813.001297,1,58.249035
1320.299176,1,60.661881
1788.429292,1,63.267232
1748.430135,1,65.335082
1828.389467,1,67.53091
1728.62237,1,70.074465
1478.358403,1,72.2965
1843.538643,1,74.441705
1729.567573,1,76.559964
1828.389467,1,78.852559
1751.953909,1,81.20866
1696.987332,1,83.417685
1828.389467,1,85.682671
1835.416727,1,87.858563
1839.502795,1,90.002987
1795.091115,1,92.238914
1828.389467,1,94.499577
1461.891251,1,96.688233
1844.185809,1,99.252091
1843.004733,1,101.601194
1739.043501,1,103.859488
1598.704556,1,106.138335
1844.394546,1,108.514474
1860.337546,1,110.90604
1749.48967,1,113.073057
1470.662528,1,115.178661
1842.042038,1,117.540421
1823.944173,1,120.141147
1842.975619,1,122.205198
1494.007169,1,124.957886
1824.857188,1,127.771393
1611.547644,1,130.174075
1850.094024,1,132.936341
1838.248509,1,135.384508
1855.824253,1,137.712275
1829.749321,1,139.997501
1829.227584,1,142.374141
1828.389467,1,145.00392
1778.354174,1,147.545078
1837.056585,1,149.779642
1850.646485,1,151.784592
1828.389467,1,154.300695
1834.609275,1,156.647683
1320.299176,1,159.054904
1538.84048,1,161.338686
1833.085828,1,163.538448
1837.785515,1,165.86636
1798.715227,1,168.378535
1609.29392,1,170.563637
1853.326257,1,172.701656
1409.044395,1,175.089782
1826.692557,1,177.53997
1728.787074,1,180.286566
1825.913443,1,182.632279
1845.626762,1,184.882957
1494.007169,1,187.021539
1369.114715,1,189.462332
1844.752088,1,192.535188
1787.775148,1,194.926463
1844.394546,1,197.350191
1629.067876,1,199.816579
1592.34755,1,202.008157
1794.050274,1,204.838735
1601.45048,1,207.419312
1799.116362,1,209.575864
1478.358403,1,211.847378
1848.612672,1,214.18709
1826.019691,1,216.750205
1645.000115,1,219.478005
1851.236002,1,221.682063
