#{"t_start": 1620850020.195228, "env_id": "octorotor-v0"}
r,l,t
1790.356219,1,4.818773
1820.840553,1,6.045197
1757.419142,1,7.325891
1822.669652,1,8.611084
1816.767307,1,9.760669
1800.336092,1,10.997079
1785.690339,1,12.294777
1814.555029,1,13.453912
1790.518071,1,14.748245
1837.670194,1,16.039287
1766.462124,1,17.295275
1824.102669,1,18.564822
1793.250664,1,20.016207
1761.021479,1,21.337912
1830.037745,1,22.629285
1814.82336,1,23.907352
1729.150216,1,25.260308
1766.455728,1,26.557043
1809.933177,1,27.80306
1675.848136,1,29.088968
1808.377984,1,30.329603
1729.35031,1,31.653382
1826.336074,1,33.001747
1808.307264,1,34.288691
1791.787427,1,35.582972
1833.81438,1,37.022296
1844.957803,1,38.377404
1801.49381,1,39.680023
1800.009414,1,40.959103
1815.346886,1,42.287174
1812.257829,1,43.744749
1811.127734,1,45.081606
1860.016886,1,46.574067
1838.712656,1,47.858728
1753.241354,1,49.145171
1844.595375,1,50.459647
1777.840516,1,51.826682
1531.715756,1,53.264568
1750.917425,1,54.560884
1797.618703,1,55.854784
1827.816345,1,57.218533
1856.255303,1,58.536081
1811.511503,1,59.752736
1731.179573,1,61.023412
1669.157225,1,62.347697
1747.206337,1,63.773397
1796.688316,1,65.078929
1814.221203,1,66.341257
1768.330616,1,67.656432
1828.059259,1,68.982368
1786.354096,1,70.37711
1694.081411,1,71.728383
1792.024767,1,73.030033
1745.249016,1,74.365511
1789.275678,1,75.826655
1807.78653,1,77.192228
1778.627181,1,78.582665
1783.533263,1,79.982971
1839.302886,1,81.376875
1783.034696,1,82.684233
1822.139874,1,83.996416
1729.072996,1,85.318829
1672.558694,1,86.67599
1763.204515,1,88.004951
1469.184024,1,89.329383
1835.457849,1,90.645976
1692.264171,1,91.960591
1780.314037,1,93.273911
1809.510008,1,94.563568
1781.162594,1,95.900662
1636.250608,1,97.229599
1786.431527,1,98.591949
1616.72979,1,100.249532
1840.647362,1,101.650624
1728.52385,1,103.00177
1686.23441,1,104.329876
1769.749353,1,105.695616
1773.038374,1,107.284655
1855.591979,1,108.610943
1758.722736,1,109.932537
1783.560189,1,111.182041
1811.003655,1,112.538015
1789.598345,1,113.84915
1813.364499,1,115.113266
1853.075824,1,116.45779
1818.463786,1,117.801769
1845.590543,1,119.109697
1770.944147,1,120.424991
1822.384667,1,121.838193
1808.556878,1,123.272115
1832.262769,1,124.679867
1856.48572,1,126.173342
1816.15591,1,127.581598
1841.740732,1,129.022524
1866.35413,1,130.409481
1791.902609,1,131.813956
1858.193921,1,133.172745
1813.813062,1,134.410058
1768.555069,1,135.774663
1773.068809,1,137.220577
1800.05664,1,138.575845
1815.754576,1,139.916622
1692.33665,1,141.26718
1813.80829,1,142.611254
1785.996008,1,144.30998
1790.165336,1,145.771823
1775.684478,1,147.272647
1811.499148,1,148.736179
1851.835471,1,150.222436
1806.185034,1,151.772838
1814.998351,1,153.968453
1810.559406,1,155.378271
1733.693245,1,156.864858
1801.525422,1,158.257386
1661.986299,1,159.730773
1642.551117,1,161.154748
1860.422542,1,162.933913
1693.465745,1,164.356943
1864.973601,1,165.809377
1754.381657,1,167.252402
1749.378365,1,168.596136
1862.74386,1,170.089442
1785.259023,1,172.003939
1806.595193,1,173.325647
1765.787326,1,174.64066
1847.777867,1,175.946802
1703.220926,1,177.260834
1836.220859,1,178.60459
1752.786475,1,179.970333
1855.239133,1,181.285122
1741.493016,1,182.603153
1844.02368,1,183.851937
1784.474542,1,185.182556
1787.497593,1,186.499023
1788.486874,1,187.741419
1815.722874,1,189.027509
1729.952331,1,190.380099
1838.788874,1,191.770478
1684.562549,1,193.045254
1821.192297,1,194.366248
1816.997775,1,195.555973
1665.281152,1,196.979562
1808.367608,1,198.5187
1781.958935,1,199.832781
1850.850304,1,201.171645
1587.332517,1,202.48236
1735.711935,1,203.795009
1790.356756,1,205.101284
1672.800436,1,206.430598
1600.399199,1,207.727346
1827.580622,1,209.074476
1708.139841,1,210.599113
1850.587846,1,211.992273
1711.791703,1,213.350632
1730.209575,1,214.733885
1839.353655,1,216.150304
1815.555712,1,217.47143
1809.276628,1,218.7767
1619.342203,1,220.117651
1707.178763,1,221.449017
1797.762157,1,222.889392
1771.986515,1,224.141873
1722.502057,1,225.491549
1833.610725,1,226.880406
1774.199993,1,228.207297
1782.923264,1,229.508237
1740.462759,1,230.885128
1672.864583,1,232.271075
1764.210795,1,233.660817
1766.579264,1,235.022948
1847.055536,1,236.396194
1705.172386,1,237.739585
1780.225644,1,239.219246
1830.080403,1,240.589023
1818.796282,1,241.915514
1816.524706,1,243.23188
1825.634516,1,244.522531
1751.680819,1,245.740354
1810.221342,1,247.028953
1821.329912,1,248.487828
1812.643097,1,249.93659
1811.239168,1,251.260454
1791.039664,1,252.567943
1833.393729,1,253.795396
1818.652563,1,255.065459
1845.797337,1,256.410362
1822.397076,1,257.791188
1625.540014,1,259.17068
1746.306259,1,260.601908
1814.811107,1,262.104816
1847.00444,1,263.693818
1850.7559,1,265.380924
1794.281722,1,266.980148
1832.049985,1,268.501534
1579.830444,1,270.216303
1731.590459,1,271.825536
1845.626754,1,273.300757
1722.972462,1,274.830968
1717.253,1,276.453422
1763.244843,1,278.54542
1845.394058,1,280.249563
1796.565519,1,281.84549
1633.522351,1,283.447341
1849.822809,1,285.020065
