#{"t_start": 1620860288.6253169, "env_id": "octorotor-v0"}
r,l,t
1715.583595,1,5.786108
1824.330466,1,7.285832
1794.63245,1,8.805755
1750.355576,1,10.319548
1831.921265,1,11.865229
1802.292706,1,13.537685
1812.657625,1,15.555263
1820.453733,1,17.478443
1798.654368,1,19.463176
1742.340701,1,21.303111
1836.573277,1,22.959553
1863.673897,1,24.581752
1774.627656,1,26.214465
1797.187912,1,28.17169
1823.395558,1,29.783865
1758.09608,1,31.373638
1830.936621,1,32.915662
1818.080283,1,34.527322
1817.492265,1,36.105973
1612.745753,1,37.785095
1796.675868,1,39.344394
1603.099387,1,40.947209
1793.312557,1,42.43986
1785.185384,1,43.97006
1717.26537,1,45.729263
1793.374998,1,47.423433
1713.160125,1,49.040728
1721.408144,1,50.630033
1707.432152,1,52.21429
1786.612604,1,53.722571
1761.313367,1,55.423744
1802.69465,1,57.146537
1793.931872,1,58.811004
1848.644281,1,60.557743
1743.771465,1,62.350683
1809.093087,1,63.907066
1760.934799,1,65.545142
1806.884066,1,67.134941
1782.572805,1,68.860539
1819.741084,1,70.538838
1799.3063,1,72.058996
1827.034088,1,73.620475
1798.936433,1,75.289846
1805.649202,1,76.906561
1700.851597,1,78.502784
1770.475431,1,80.084633
1828.244499,1,81.657058
1712.178625,1,83.267188
1816.876704,1,84.817906
1766.84546,1,86.34366
1775.580432,1,87.814494
1527.849843,1,89.360345
1811.272897,1,90.899329
1839.79835,1,92.41771
1802.386186,1,93.954657
1830.697441,1,95.479061
1822.739398,1,96.965252
1820.15432,1,98.45364
1836.524787,1,99.95321
1798.621262,1,101.450075
1720.090803,1,102.928501
1656.871431,1,104.440676
1728.272229,1,106.035258
1849.317455,1,107.509787
1807.744487,1,109.076038
1731.063188,1,110.590712
1673.082937,1,112.084328
1784.921181,1,113.6002
1676.13092,1,115.177885
1802.829001,1,116.676925
1814.995549,1,118.137448
1736.548142,1,119.639451
1833.450153,1,121.150176
1749.077727,1,122.763901
1731.301405,1,124.340741
1609.979784,1,125.916063
1813.488081,1,127.46083
1684.922182,1,129.047463
1813.986649,1,130.558041
1714.426904,1,132.163746
1807.830927,1,133.821297
1846.778828,1,135.426487
1796.434513,1,136.996863
1837.11468,1,138.564773
1773.388169,1,140.06314
1769.775164,1,141.62846
1815.798003,1,143.197655
1762.37885,1,144.711135
1806.579553,1,146.197697
1828.757759,1,147.724583
1767.787097,1,149.292152
1737.570066,1,150.837193
1826.263442,1,152.360334
1843.781065,1,153.943168
1797.748323,1,155.622798
1743.631292,1,157.155395
1777.133696,1,158.730273
1807.585061,1,160.402345
1803.954193,1,161.963214
1830.455897,1,163.536549
1774.76236,1,165.136066
1831.091223,1,166.722132
1857.031034,1,168.326376
1796.905049,1,169.963856
1809.706962,1,171.582668
1697.934821,1,173.165919
1713.602084,1,174.7549
1694.816922,1,176.414749
1579.086337,1,178.005198
1752.31027,1,179.597497
1702.665685,1,181.214477
1834.374429,1,182.855052
1813.445134,1,184.412691
1777.484691,1,185.974608
1818.482135,1,187.504096
1853.144849,1,189.133186
1778.43909,1,190.769916
1638.133954,1,192.418283
1760.164076,1,194.071598
1832.579295,1,195.657698
1854.431188,1,197.301144
1803.935449,1,198.934212
1703.882661,1,200.587414
1849.560499,1,202.355991
1796.941772,1,204.032017
1848.077483,1,205.609771
1826.353348,1,206.968164
1621.485608,1,208.582065
1820.121532,1,210.204937
1810.373115,1,211.785681
1836.147737,1,213.29009
1790.109701,1,214.874118
1835.108232,1,216.480131
1669.314786,1,218.076228
1845.958991,1,219.707331
1573.002847,1,221.296298
1608.035743,1,222.925733
1768.529601,1,224.582083
1727.237196,1,226.287484
1781.019911,1,227.95458
1820.974106,1,229.599142
1779.549156,1,231.249957
1725.679226,1,233.071035
1721.56404,1,234.962973
1805.021557,1,236.627916
1804.895549,1,238.279222
1819.646735,1,240.160749
1818.879253,1,241.934906
1792.732816,1,243.518447
1781.874589,1,245.151161
1797.591312,1,246.647028
1863.147475,1,248.674999
1780.913525,1,250.162315
1797.528082,1,251.81403
1824.954836,1,253.275931
1782.183618,1,255.021903
1810.983958,1,256.699514
1864.171295,1,258.364465
1725.196437,1,260.164935
1663.709471,1,261.824387
1830.094864,1,263.530577
1826.988724,1,265.12327
1828.045214,1,266.882694
1768.384495,1,268.62989
1733.799053,1,270.273328
1785.491886,1,271.944253
1812.786075,1,273.525724
1831.176183,1,275.213419
1827.27225,1,276.897321
1811.150623,1,278.548471
1856.609166,1,280.25379
1837.680446,1,281.942451
1754.047184,1,283.663588
1823.198707,1,285.217133
1757.093601,1,286.940183
1826.912634,1,288.496885
1806.225322,1,290.269061
1777.35998,1,291.928456
1841.823332,1,293.626772
1529.31505,1,295.324604
1684.281875,1,297.098549
1775.053462,1,299.009173
1842.106666,1,300.767614
1826.143686,1,302.421066
1379.147738,1,304.223471
1833.176305,1,305.969664
1802.122954,1,307.590356
1814.868905,1,309.211075
1838.005712,1,310.91635
1533.338718,1,312.676156
1617.066571,1,314.451619
1691.322894,1,316.217176
1837.071008,1,317.955876
1685.821287,1,319.721926
1811.391958,1,321.436172
1856.440356,1,323.111242
1775.134481,1,324.74614
1754.021679,1,326.903121
1791.943092,1,328.608016
1838.332393,1,330.350789
1821.052703,1,331.979454
1791.365181,1,333.800496
1758.612803,1,335.545964
1834.369177,1,337.287526
1805.024351,1,339.064869
1823.155659,1,340.852142
1819.048771,1,342.559354
1827.896665,1,344.212992
1840.159209,1,345.977938
1826.80994,1,347.756144
1843.026079,1,350.25237
1809.235675,1,351.81497
1825.857026,1,353.529039
1851.202961,1,355.25505
1780.963514,1,357.221503
1757.430394,1,358.93372
1790.107215,1,360.645396
1862.186715,1,362.332889
1679.548646,1,364.269948
1787.932099,1,365.993782
1833.003584,1,367.626761
1845.601171,1,369.350413
1845.635297,1,371.217949
1844.376828,1,372.903547
1846.558163,1,374.630146
1828.101938,1,376.328909
1863.555221,1,378.27887
1826.494798,1,380.043387
1807.700444,1,381.775635
1861.224727,1,383.379803
1842.765336,1,385.398849
1792.174761,1,387.085327
1825.96056,1,388.769289
1839.710044,1,390.464192
1828.319667,1,392.442156
1822.403434,1,394.093631
1828.674954,1,395.730754
1792.082835,1,397.413798
1802.517249,1,399.382061
1818.731492,1,401.075522
1828.022093,1,402.691385
1813.664352,1,404.378066
1837.584825,1,406.29341
1827.509053,1,407.957078
1795.458376,1,409.682548
1825.048182,1,411.389498
1829.875269,1,413.325304
1826.910801,1,414.985773
1821.362299,1,416.622379
1773.612089,1,418.309945
1825.813727,1,420.19321
1806.205938,1,421.855876
1807.313422,1,423.506537
1830.222585,1,425.10839
1822.415579,1,426.965538
1825.037324,1,428.633409
1828.057923,1,430.314263
1830.545064,1,432.022755
1785.234161,1,433.874279
1826.209815,1,435.564372
1827.730285,1,437.208795
1829.354252,1,438.837911
1818.562145,1,440.631847
1830.788326,1,442.370438
1823.00152,1,444.07596
1822.170244,1,445.69238
1830.528552,1,447.327317
1821.313814,1,449.11766
1825.244863,1,451.090292
1825.43452,1,452.914324
1834.917599,1,455.017054
1831.413497,1,456.99027
1832.532098,1,459.153294
1827.803233,1,461.313122
1820.009941,1,463.321074
1829.473054,1,465.234789
1832.017956,1,467.170519
1825.709166,1,469.420268
1833.027897,1,471.19202
1824.056096,1,473.049341
1828.446826,1,474.753491
1824.192535,1,476.708908
1828.833182,1,479.414877
1826.345362,1,481.273094
1824.668035,1,483.042913
1823.025897,1,484.755969
1824.219415,1,486.481105
1824.107964,1,488.082835
1819.57681,1,489.845283
1826.780492,1,491.546757
1827.20469,1,493.440768
1826.978379,1,495.498602
1821.243641,1,497.397076
1828.481414,1,499.093419
1827.612589,1,500.747062
1823.643223,1,502.375268
1823.522804,1,504.076487
1821.89912,1,505.892417
1828.995573,1,508.004905
1829.186031,1,509.830994
1828.71599,1,511.640016
1831.169657,1,513.706768
1830.529253,1,515.506333
1827.433277,1,517.429046
1826.784766,1,519.250727
1821.734315,1,521.099488
1826.958998,1,522.87772
1827.972538,1,524.574728
1827.779111,1,526.345369
1831.083138,1,528.192728
1826.429146,1,529.798153
1826.777926,1,531.445689
1825.746715,1,533.097512
1827.348738,1,535.110029
1826.045253,1,536.709154
1822.664221,1,539.110645
1829.104248,1,541.009383
1830.102195,1,543.562217
1825.585994,1,545.618885
1824.789175,1,547.259736
1829.687131,1,549.740194
1824.513365,1,551.490232
1824.477487,1,553.196402
1827.235931,1,554.947854
1825.801853,1,557.089057
1825.298351,1,558.930699
1823.85465,1,561.69071
1820.710096,1,564.081511
1825.213815,1,565.789061
1828.258975,1,567.451317
1828.130245,1,569.122988
1825.718643,1,570.699786
1827.977971,1,572.278774
1829.174601,1,573.824996
1829.879954,1,575.34396
1823.416441,1,576.843559
1826.413076,1,578.444007
1824.448514,1,580.137834
1830.14445,1,581.877579
1832.152666,1,583.557454
1829.335922,1,585.412179
1827.163689,1,587.127773
1828.327528,1,588.877628
1826.97978,1,590.486061
1824.675377,1,592.525558
1823.923019,1,594.228499
1828.293112,1,596.087973
1827.753304,1,598.163416
1824.627342,1,600.361248
1831.159578,1,602.358766
1831.006101,1,604.671205
1826.456981,1,607.032332
1822.646205,1,608.817663
1828.568879,1,610.685802
1825.735516,1,612.640609
1828.842187,1,614.933874
1822.076495,1,617.197027
1822.4381,1,619.009239
1830.202,1,621.118495
1824.964379,1,622.8329
1823.591215,1,624.615307
1825.92442,1,626.341694
1827.830556,1,628.311596
1827.024188,1,630.000676
1827.304651,1,631.975455
1826.966189,1,633.737925
1820.159426,1,635.317678
1827.633661,1,636.89832
1830.074871,1,638.636902
1825.104655,1,640.720361
1821.034836,1,642.444986
1826.253046,1,644.283401
1826.686005,1,646.219335
1822.68272,1,648.61592
1825.177887,1,650.491784
1827.843416,1,652.308052
1824.493731,1,654.684945
1828.738758,1,656.731696
1828.74793,1,658.912717
1825.524211,1,660.960938
1825.281412,1,663.933617
1828.560255,1,665.833489
1828.60063,1,667.662554
1829.521984,1,669.794161
1825.324244,1,671.793788
1825.306986,1,673.589625
1824.043488,1,675.703104
