#{"t_start": 1620876055.9356155, "env_id": "octorotor-v0"}
r,l,t
1814.360227,1,6.83712
1769.936131,1,8.296093
1838.763459,1,9.693422
1786.173656,1,11.155575
1682.707055,1,12.866276
1731.749003,1,14.832323
1801.911122,1,16.344472
1777.350511,1,17.871996
1704.874548,1,19.671735
1625.846036,1,21.42435
1797.776995,1,23.372554
1793.010794,1,25.285095
1774.382996,1,26.913838
1751.710666,1,28.561935
1590.102867,1,30.155845
1805.971165,1,31.81004
1595.538367,1,34.135932
1797.683624,1,35.680889
1793.579909,1,37.20592
1806.398972,1,38.780753
1807.865397,1,40.256804
1814.386387,1,41.802933
1749.769231,1,43.339665
1847.654693,1,45.281794
1838.000461,1,47.397555
1793.767354,1,49.104707
1785.565673,1,50.775735
1819.611439,1,52.525823
1767.957321,1,54.160814
1729.427709,1,56.172448
1804.537677,1,57.669614
1803.521911,1,59.366495
1832.741453,1,61.090282
1693.987684,1,62.803988
1809.907089,1,64.827167
1822.778762,1,66.885164
1803.988572,1,68.713024
1815.153331,1,70.48346
1795.181536,1,72.262022
1817.370337,1,74.409239
1770.965749,1,76.64514
1816.618461,1,78.472297
1745.397686,1,80.328721
1786.19748,1,81.965961
1824.150768,1,83.623137
1791.674942,1,85.262297
1698.728273,1,86.838275
124.656432,1,87.093932
1799.697798,1,88.690981
1783.246635,1,90.636496
1834.758044,1,92.510921
1839.742539,1,94.367268
1806.439019,1,96.37187
1742.663179,1,98.222986
1796.612965,1,100.050669
1830.76889,1,101.719732
1830.452678,1,103.991742
1620.80676,1,105.900079
1708.89684,1,107.652207
1833.551691,1,109.581938
1829.094475,1,111.681888
1799.207279,1,113.601573
1849.532829,1,115.548798
1775.064571,1,117.783255
1819.147659,1,119.715346
1733.255023,1,121.663782
1816.16938,1,123.712025
1803.127657,1,125.612859
1744.988513,1,127.644948
1826.455975,1,129.635405
1674.818193,1,131.666948
1733.53915,1,133.640318
1820.221111,1,135.750583
1777.844353,1,137.633168
1743.573133,1,139.611626
1822.800888,1,141.592236
1732.820575,1,143.474962
1802.909384,1,145.375383
1853.672709,1,147.275603
1798.107592,1,149.152146
1787.138471,1,151.049438
1766.806984,1,152.906878
1749.824297,1,154.717877
1671.589248,1,156.524216
1813.946909,1,158.45088
1579.1774,1,160.320894
1771.707578,1,162.182704
1844.409886,1,164.088054
1740.555876,1,165.865851
1701.900645,1,167.722271
1821.275892,1,169.583675
1771.132847,1,171.412201
1824.200862,1,173.266178
1797.465446,1,175.115201
1729.73016,1,176.865367
1710.622288,1,178.702323
1794.233002,1,180.586826
1854.182834,1,182.50174
1765.550032,1,184.27553
1818.471175,1,186.163971
1461.922283,1,188.033986
