#{"t_start": 1620851626.2554648, "env_id": "octorotor-v0"}
r,l,t
1849.909688,1,6.009644
1831.977094,1,7.559563
1650.819947,1,9.160966
1672.188415,1,10.84818
1777.646893,1,12.232478
1586.596084,1,13.692797
1785.349819,1,15.134732
1773.950413,1,16.57122
1817.402848,1,18.146288
1800.258715,1,19.568738
1770.206794,1,20.984293
1580.852197,1,22.42159
1784.986115,1,23.767458
1698.23034,1,25.284872
1809.169342,1,26.675871
1720.600187,1,28.077938
1798.72202,1,29.546146
1775.92189,1,30.987869
1762.597266,1,32.498085
1805.514747,1,33.945129
1732.994689,1,35.248556
1798.076242,1,36.640739
1821.570409,1,37.998286
1834.557844,1,39.521219
1754.116167,1,40.951607
1793.388281,1,42.345372
1824.507333,1,43.818472
1730.69459,1,45.320596
1717.972791,1,46.928217
1771.000105,1,48.376382
1776.54294,1,49.832457
1824.899791,1,51.301721
1791.883219,1,52.766571
1809.626611,1,54.246853
1697.342652,1,55.817691
1819.130793,1,57.358452
1688.11387,1,58.791355
1589.668617,1,60.402648
1820.249173,1,61.869449
1774.812848,1,63.336922
1501.548712,1,64.87114
1721.405685,1,66.352841
1821.337161,1,68.098861
1820.559176,1,69.596352
1802.133337,1,71.094735
1804.696875,1,72.610304
1812.816857,1,74.312507
1613.379228,1,75.797536
1825.278776,1,77.303277
1827.94234,1,78.818181
1838.386225,1,80.313536
1790.647166,1,81.97044
1733.012953,1,83.461179
1833.237679,1,84.963542
1810.131913,1,86.493358
1821.08387,1,88.232424
1800.076659,1,89.782612
1841.061414,1,91.308663
1727.245375,1,92.731196
1479.789012,1,94.212219
1682.280365,1,95.946743
1816.067768,1,97.476686
1803.675693,1,98.907686
1782.707708,1,100.426747
1814.695841,1,102.118485
1809.907017,1,103.609596
1757.53908,1,105.075056
1789.606421,1,106.566773
1657.615234,1,108.064808
1694.893628,1,109.771985
1790.972216,1,111.289597
1783.736852,1,112.811101
1741.943534,1,114.287781
1800.322546,1,115.909642
1730.579785,1,117.508726
1789.904968,1,119.009347
1825.311698,1,120.894048
1864.136696,1,122.815932
1778.644736,1,124.342486
1838.546278,1,126.223749
158.874102,1,126.531355
1753.808085,1,128.208023
1796.52397,1,129.717159
1758.860698,1,131.747526
1590.340171,1,133.722445
1713.468632,1,135.391858
1818.723151,1,137.163732
1617.241853,1,138.883389
1793.260977,1,140.54028
1732.281709,1,142.846684
1771.475933,1,144.543196
1565.266507,1,146.248166
1737.013701,1,148.015034
1815.913247,1,150.299194
1806.957902,1,151.983356
1603.355953,1,153.44438
1651.430605,1,155.023074
1775.418591,1,156.509418
1769.020886,1,158.022374
1745.277728,1,159.598105
1788.030798,1,161.14544
1791.846525,1,163.044024
1778.567127,1,164.573287
1717.385713,1,166.111715
1788.015599,1,167.600698
1706.454332,1,169.198452
1784.3111,1,170.698037
1789.750262,1,172.190762
1654.505645,1,173.80868
1729.082725,1,175.444773
1792.131691,1,177.001356
1788.405065,1,178.631145
1780.592567,1,180.338502
1725.377092,1,181.980838
1717.967036,1,183.600892
1666.686416,1,185.208642
1622.738953,1,186.860192
1783.775331,1,188.583184
1796.248705,1,190.832472
1721.130273,1,192.404646
1796.377603,1,193.977294
1795.943183,1,195.628897
1706.243564,1,197.238612
1689.355299,1,198.883803
1723.46423,1,200.493003
1680.392824,1,202.211177
1791.401297,1,203.925297
1778.252257,1,205.474916
1797.178321,1,206.979984
1733.824367,1,208.460272
1786.675019,1,210.169044
1784.935712,1,211.742487
1734.279365,1,213.318583
1792.523979,1,214.879999
1717.119067,1,216.50375
1781.604367,1,217.989874
1727.224433,1,219.526387
1785.882473,1,221.298571
1799.468096,1,222.770421
1788.893328,1,224.380379
1714.112696,1,226.014088
1780.368518,1,227.614084
1717.641919,1,229.880959
1721.76972,1,231.593229
1717.496937,1,233.642562
1721.203351,1,235.661808
1793.459105,1,237.423561
1719.835818,1,239.429754
1715.652146,1,241.735285
1726.385441,1,243.825144
1693.360212,1,245.98512
1801.671135,1,247.609574
1784.64734,1,249.24694
1701.969482,1,250.931279
1794.224138,1,252.555709
1786.111519,1,254.212243
1799.551484,1,256.644773
1732.427605,1,258.166733
1732.387356,1,259.689063
1783.262195,1,261.200469
1720.980644,1,262.883601
1731.550681,1,264.655142
1719.897528,1,266.331888
1790.135708,1,268.007157
1772.611364,1,269.695583
1798.33803,1,271.760969
1694.287438,1,273.795932
1734.001776,1,275.432656
1689.358612,1,277.036496
1781.233888,1,278.598705
1717.638256,1,280.387839
1793.949836,1,281.892465
1701.05285,1,283.40525
1793.782109,1,284.865742
1796.013197,1,286.330665
1728.86799,1,288.164337
1720.461848,1,289.705825
1723.471513,1,291.185461
1729.317956,1,292.695602
1790.412547,1,294.394467
1726.75331,1,295.933763
1739.83536,1,297.457169
1700.138798,1,298.936774
1772.652802,1,300.437852
1789.005239,1,302.178368
1738.447099,1,303.722868
1785.989395,1,305.240407
1785.789606,1,306.755334
1795.56052,1,308.450024
1796.222608,1,309.980613
1802.655286,1,311.505615
1798.148953,1,312.980415
1659.231202,1,314.503383
1781.563329,1,316.232981
1780.55516,1,317.824329
1792.505117,1,319.475188
1699.906787,1,321.086994
1705.370558,1,322.716503
1718.137817,1,324.472673
1674.881838,1,326.500065
1697.736376,1,328.10123
1791.860009,1,329.753432
1785.31401,1,331.351665
1687.809012,1,333.117274
1785.660718,1,335.65211
1792.200567,1,337.236146
1784.513884,1,338.954515
1726.822831,1,340.573153
1782.930518,1,342.156941
1734.670833,1,343.933551
1729.471514,1,345.673492
1806.972721,1,347.111931
1782.16702,1,348.627391
1799.605009,1,350.246862
1795.558287,1,351.957813
1716.052128,1,354.215032
1663.971973,1,355.83895
1786.382805,1,357.478959
1781.903103,1,359.088982
1669.339978,1,360.695758
1796.545585,1,362.527663
1795.350133,1,364.615026
1695.259178,1,366.298846
1730.799189,1,367.923009
1672.551401,1,369.496138
1720.479309,1,371.178802
1728.464405,1,373.372284
1722.659556,1,374.977702
1780.010993,1,376.546311
1790.275649,1,378.125086
1671.702129,1,379.910289
1726.468579,1,381.542162
1733.252942,1,383.217757
1715.228772,1,384.900206
1799.374083,1,386.4529
1709.108798,1,388.016124
1735.528111,1,389.565863
1778.151087,1,391.863627
1685.836252,1,393.394128
1721.483669,1,394.954341
1675.146053,1,396.494277
1697.294175,1,398.055727
1711.994109,1,399.859758
1784.805382,1,401.669216
1726.270727,1,403.142112
1790.893374,1,404.629364
1734.603602,1,406.146255
1731.122919,1,407.960362
1665.375694,1,409.434308
1725.85883,1,410.9092
1793.042452,1,412.356303
1726.829709,1,413.886496
1739.896201,1,415.327522
1784.370938,1,416.773875
1693.092138,1,418.23881
1782.137659,1,419.802259
1799.178482,1,421.296211
1774.090695,1,422.734022
1784.047407,1,424.193371
1686.63817,1,425.645456
1680.720562,1,427.48564
1722.512639,1,428.964565
1779.896554,1,430.424917
1739.835836,1,431.85961
1727.393822,1,433.311997
1790.940361,1,435.034477
1678.631507,1,436.476842
1836.057318,1,437.972815
1781.501163,1,439.428975
1503.392035,1,440.849662
1791.32715,1,442.665055
1578.133788,1,444.297938
1800.052714,1,445.979377
1772.904849,1,447.549033
1835.967335,1,449.121604
1720.77778,1,450.692244
1584.084233,1,452.218017
1728.283774,1,453.806638
1825.493836,1,455.608897
1644.3745,1,457.167447
1609.848626,1,458.589957
1664.935591,1,460.07516
1797.835858,1,461.729537
1838.879831,1,463.462564
1839.444217,1,465.115386
1614.912862,1,466.750628
1720.875865,1,468.423282
1418.097781,1,469.94765
1822.403866,1,471.560894
1612.701725,1,473.105321
1604.240284,1,474.617507
1658.480784,1,476.516286
1783.079071,1,478.208645
1733.460498,1,479.700198
1623.688695,1,481.104724
1813.246882,1,482.578662
1337.588051,1,483.97489
1840.322758,1,485.541635
1561.853365,1,487.110722
1780.712146,1,488.67942
1830.255505,1,490.296442
1701.698199,1,491.873749
305.357272,1,492.332838
1603.802774,1,493.968889
1833.808751,1,495.872385
1706.859879,1,497.317877
1683.788503,1,498.759662
1833.947683,1,500.243724
1690.072765,1,502.013786
1449.610451,1,503.379598
1838.756415,1,504.858519
1790.911085,1,506.316423
1845.02862,1,507.798137
1826.454346,1,509.274978
1831.659516,1,510.733469
1827.188018,1,512.197276
1832.259635,1,513.694486
1511.06049,1,515.114506
1674.317052,1,516.578214
1523.37962,1,517.984187
1836.297784,1,519.493611
1801.668659,1,521.341043
1718.622399,1,522.860353
1479.461472,1,524.26317
1196.487717,1,525.729043
1647.79452,1,527.357101
1838.913375,1,529.174072
1620.625635,1,531.091824
1612.407556,1,533.102134
1834.486049,1,534.843655
1699.144703,1,536.705635
1490.115889,1,538.308893
1289.112115,1,539.754441
1712.903787,1,541.378495
1695.105216,1,543.046604
1843.425595,1,544.618952
1822.893935,1,546.077039
1843.328698,1,547.529051
1648.938212,1,548.906363
1431.766044,1,550.346018
1793.394785,1,551.760073
1837.319961,1,553.222557
1449.727583,1,554.593283
1825.399003,1,556.163071
1552.880756,1,557.579358
1799.384304,1,559.017033
1585.862486,1,560.419019
1581.326869,1,561.897263
1839.909812,1,563.713097
1847.093246,1,565.275855
1829.186582,1,566.834573
1692.994485,1,568.494869
1675.926295,1,570.138552
1832.40267,1,572.341033
1838.420804,1,573.941504
1799.34272,1,575.57263
1841.104975,1,577.248567
1828.732963,1,578.867017
1734.347869,1,580.837143
1470.436398,1,582.423114
1832.046166,1,584.02303
1645.892713,1,585.622426
1788.068259,1,587.20411
1831.333598,1,588.812386
1650.209988,1,590.637233
1705.367803,1,592.357465
1230.829857,1,593.796631
1832.945656,1,595.347409
1533.343225,1,596.829952
1603.430523,1,598.300539
1828.096886,1,600.281653
1534.194805,1,601.748498
1839.268489,1,603.326755
1650.428588,1,604.831849
1724.129021,1,606.303058
1843.535167,1,607.828698
1704.887816,1,609.274763
1827.69048,1,610.729848
301.689279,1,611.124758
1831.854851,1,612.572167
1682.73917,1,614.337458
1612.598145,1,615.735099
1709.09856,1,617.19868
1837.512241,1,618.776724
1830.254916,1,620.389938
1826.221984,1,622.219152
1675.026254,1,624.140374
1515.024908,1,625.641015
1843.783064,1,627.219672
1673.370064,1,628.789684
1603.976207,1,630.336078
1728.846722,1,632.103643
1665.366354,1,634.067957
1825.592284,1,635.655583
1780.956007,1,637.225833
1835.481944,1,638.821897
1840.940387,1,640.444622
1829.578538,1,641.991813
1666.772587,1,643.413133
1840.200373,1,644.944417
1654.922307,1,646.446965
1792.317295,1,648.116829
1843.233998,1,649.595015
1838.967889,1,651.10224
1781.850524,1,652.581608
1542.620885,1,654.391436
1638.292059,1,655.855245
1833.010475,1,657.377373
1832.983454,1,658.925408
1840.116269,1,660.481661
1692.253079,1,662.334543
1817.779086,1,664.157451
1665.657783,1,665.60147
1837.56652,1,667.096271
1528.135792,1,668.484269
1830.034324,1,670.153066
1831.229998,1,671.640248
1686.810695,1,673.108466
1840.353822,1,674.606364
1832.690011,1,676.107435
1832.582703,1,677.778195
1586.296714,1,679.165238
1620.068284,1,680.570792
1785.877035,1,682.014362
1840.524217,1,683.514705
1829.828105,1,685.250243
1827.523454,1,686.726851
1808.956971,1,688.210592
1583.835478,1,689.689929
1838.10181,1,691.558399
1840.956378,1,693.007948
1814.139912,1,694.485402
1400.12266,1,695.87813
1559.198917,1,697.262806
1790.860475,1,698.696336
1472.717474,1,700.067879
1269.780075,1,701.420232
1836.014496,1,702.838424
1807.19487,1,704.31059
1641.082378,1,705.673913
1489.44122,1,707.026484
1827.721208,1,708.475414
1561.911675,1,709.972233
1710.376188,1,711.6551
1511.291202,1,713.023857
1787.833754,1,714.42194
1787.626966,1,715.847117
1708.915851,1,717.289644
1828.801332,1,718.821454
1645.741486,1,720.191621
1835.642094,1,721.6012
1820.667806,1,723.03629
1741.049327,1,724.581481
1245.934903,1,726.317824
1832.452175,1,727.881691
1603.692576,1,729.499299
1780.853213,1,730.90506
1723.197791,1,732.321697
1779.970553,1,733.872253
1838.526619,1,735.675291
1792.52989,1,737.200391
1831.5779,1,738.735834
1787.400745,1,740.23534
1684.414042,1,741.818865
1575.760059,1,743.298382
1500.182463,1,744.768245
1782.513277,1,746.354973
1782.280434,1,747.956607
1396.252674,1,749.772177
1780.369797,1,751.590684
1592.180758,1,753.124762
1779.200007,1,754.656236
1710.614603,1,756.2087
1687.625418,1,757.746125
1795.218925,1,759.707899
1544.330887,1,761.397984
1792.322047,1,762.851881
1508.524138,1,764.266526
1795.465172,1,765.722477
1821.986971,1,767.408211
1805.805189,1,768.867926
1600.388003,1,770.299002
1722.764122,1,771.768385
1795.772499,1,773.203566
1779.372186,1,774.807867
1523.692949,1,776.221323
1544.02082,1,777.706804
1730.665271,1,779.241282
1742.409375,1,780.811232
1727.86145,1,782.436598
1792.622538,1,784.332201
1793.482561,1,786.052609
1722.669695,1,787.750314
1785.527607,1,789.292211
1788.852921,1,790.7963
1736.838264,1,792.969956
1727.595238,1,794.707533
1740.537081,1,796.463609
1785.733915,1,798.014809
1722.832785,1,799.706519
1725.566949,1,801.913764
1712.375917,1,803.496643
1721.694282,1,805.121711
1788.019334,1,806.693918
1730.911946,1,808.277455
1714.72804,1,810.059316
1725.189291,1,811.733066
1719.086625,1,813.321689
1785.627254,1,814.8769
1781.965882,1,816.472569
1776.183915,1,818.025551
1777.506092,1,820.040873
1738.90036,1,821.76417
1788.444841,1,823.301124
1707.906047,1,824.79143
1786.865655,1,826.275924
1722.377709,1,827.810747
1777.68893,1,829.31316
1722.696893,1,830.953888
1783.437721,1,832.517385
1799.430593,1,834.131877
1663.499392,1,835.619685
1781.246824,1,837.753875
1723.113694,1,839.211317
1786.031927,1,840.662415
1780.082775,1,842.09813
1735.471651,1,843.554315
1729.227761,1,845.258962
1783.396153,1,846.726774
1793.421364,1,848.177657
1775.815303,1,849.670594
1790.227698,1,851.189851
1718.341565,1,852.782256
1784.217945,1,854.285186
1798.656948,1,855.737712
1786.833918,1,857.184673
1725.223039,1,858.750931
1787.79504,1,860.193715
1785.608488,1,861.647377
1788.276237,1,863.115927
1728.585304,1,864.584964
1723.450629,1,866.232548
1712.793255,1,867.702381
1718.675106,1,869.203849
1792.236916,1,870.663211
1722.461191,1,872.151551
1791.789684,1,873.748944
1700.713316,1,875.253829
1657.998619,1,876.683501
1718.27409,1,878.169388
1730.18748,1,879.745925
1781.255221,1,881.189086
1778.909268,1,882.677731
1809.230631,1,884.177995
1712.612914,1,885.732368
1794.653445,1,887.359985
1714.641404,1,888.863073
1690.929176,1,890.490356
1786.492445,1,892.087825
1720.72133,1,893.731797
1691.160985,1,896.181915
1787.956347,1,897.96636
1702.549826,1,899.677607
1801.648285,1,901.324464
1792.078213,1,902.892813
1784.347854,1,905.23719
1789.341193,1,906.772955
1724.696497,1,908.489745
1786.620792,1,910.151924
1746.305497,1,911.810881
1689.990788,1,913.536304
1710.828478,1,915.264843
1784.637846,1,916.91085
1719.368065,1,918.635514
1780.532441,1,920.625503
1698.154991,1,922.909917
1712.460639,1,924.619729
1787.960183,1,926.253888
1717.44411,1,927.922748
1601.268774,1,929.513335
1781.303812,1,931.562464
1794.954207,1,933.140352
1720.525662,1,934.733404
1791.277783,1,936.303786
1679.017165,1,937.88235
1790.867058,1,939.507611
1791.799945,1,941.5777
1683.91487,1,943.20542
1791.442277,1,944.873867
1794.459467,1,946.480394
1787.181208,1,948.086869
1700.702308,1,949.709396
1792.816779,1,951.533275
1789.430604,1,953.56642
1793.795992,1,955.175694
1788.599924,1,956.821353
1613.975022,1,958.379975
1719.690793,1,959.94222
1789.831653,1,961.514495
1695.804698,1,963.496164
1787.863939,1,965.09828
1691.679344,1,966.696297
1798.838115,1,968.199157
1687.024396,1,969.657669
1715.150905,1,971.506471
1721.629007,1,973.075979
1787.298328,1,974.544698
1716.37461,1,976.073698
1781.909399,1,977.560053
1775.395529,1,979.333744
1710.79113,1,980.984379
1779.518599,1,982.705894
1705.253971,1,984.369395
1785.845435,1,986.076241
1778.206177,1,988.425339
1720.658939,1,990.019366
1801.431195,1,991.522308
1796.418748,1,993.030483
1782.386717,1,994.555419
1736.350912,1,996.124858
1792.727257,1,997.61431
1672.944148,1,999.095704
1722.021444,1,1000.603626
1783.157364,1,1002.162243
1667.18718,1,1003.628629
1788.36862,1,1005.124811
1785.410601,1,1006.596933
1707.832995,1,1008.08553
1714.879228,1,1009.720533
1713.734497,1,1011.196693
1790.549864,1,1012.682134
1733.212529,1,1014.200903
1782.421306,1,1015.719944
1677.136698,1,1017.236695
1715.259037,1,1018.75107
1795.98636,1,1020.231823
1793.740573,1,1021.723461
1795.568572,1,1023.285072
1714.84941,1,1024.784523
1697.550472,1,1026.282144
1721.4351,1,1027.892558
1797.343199,1,1029.530244
1695.384283,1,1031.213078
1783.966031,1,1033.379445
1725.928826,1,1035.088812
1723.925901,1,1036.686943
1717.197095,1,1038.201619
1795.082716,1,1039.640809
1786.3063,1,1041.596013
1785.470815,1,1043.128769
1753.925486,1,1044.601491
1785.448715,1,1046.070734
1798.659891,1,1047.528967
1704.062411,1,1049.299459
1712.481893,1,1050.781691
1782.654981,1,1052.247395
1782.633049,1,1053.722779
1780.610219,1,1055.177114
1727.625653,1,1056.728199
1723.994288,1,1058.194247
1781.823979,1,1059.649189
1779.525274,1,1061.143583
1779.192149,1,1062.629378
1714.507385,1,1064.185596
1720.198734,1,1065.692763
1788.949771,1,1067.168428
1783.345374,1,1068.65209
1744.894967,1,1070.289008
1726.705685,1,1072.449565
1784.136389,1,1073.923291
1788.005488,1,1075.432565
1701.83108,1,1076.928137
1789.076186,1,1078.3784
1793.736681,1,1079.861793
1718.799263,1,1081.358694
1736.014687,1,1082.868571
1785.421433,1,1084.338837
1702.093911,1,1085.814519
1723.639283,1,1087.316045
1783.462403,1,1088.77818
1730.777776,1,1090.254276
1793.430328,1,1091.760571
1796.728443,1,1093.239372
1701.014296,1,1094.707926
1659.793031,1,1096.169468
1791.037703,1,1097.613799
1711.437953,1,1099.123204
1723.459843,1,1100.72567
1786.200373,1,1102.246511
1730.079973,1,1103.787173
1703.491307,1,1105.307377
1722.795624,1,1106.82972
1792.013019,1,1108.408551
1712.471834,1,1110.049118
1676.70441,1,1111.66509
1784.684154,1,1113.278359
1732.771634,1,1114.901633
1721.892597,1,1116.532218
1785.249704,1,1118.62504
1725.329001,1,1120.222859
1680.829992,1,1121.812035
1725.77229,1,1123.393198
1795.136529,1,1124.957382
1783.597971,1,1126.534381
1689.230556,1,1128.559517
1794.525979,1,1130.020095
1784.647208,1,1131.460027
1791.463275,1,1132.915178
1790.063687,1,1134.42367
1704.91727,1,1136.097852
1729.548508,1,1137.582315
1787.000524,1,1139.054823
1704.739531,1,1140.537895
1711.694989,1,1142.069134
1780.726748,1,1143.54156
1792.863541,1,1145.013882
1714.038554,1,1146.529779
1677.973938,1,1148.042767
1708.746999,1,1149.754793
1687.143894,1,1151.277284
1724.226193,1,1153.040457
1792.481921,1,1154.606922
1786.189578,1,1156.845832
1786.944019,1,1159.098951
1728.991375,1,1160.940642
1693.999032,1,1162.624593
1733.157364,1,1164.330937
1708.21121,1,1166.344405
1724.123126,1,1168.249923
1717.471835,1,1170.145734
1778.857208,1,1171.82185
1790.662782,1,1173.349998
1780.920451,1,1174.920057
1780.622883,1,1176.91832
1791.107103,1,1178.395981
1727.987968,1,1180.011358
1640.232458,1,1181.535036
1733.002015,1,1183.066767
1789.210993,1,1185.229139
1801.536784,1,1186.746047
1726.731643,1,1188.235549
1792.103803,1,1189.791684
1666.198414,1,1191.331419
1794.785083,1,1193.057102
1675.507592,1,1194.979026
1795.095201,1,1196.528089
1720.571259,1,1198.042313
1774.596326,1,1199.522927
1717.601542,1,1201.12068
1703.366983,1,1203.143039
1671.233361,1,1204.692659
1772.956843,1,1206.212842
1785.490278,1,1207.743927
1790.971157,1,1209.297314
1794.244168,1,1210.966778
1591.019901,1,1212.975385
1671.667293,1,1214.521978
1705.120369,1,1216.0632
1795.261024,1,1217.580875
1724.684683,1,1219.102019
1706.450037,1,1221.391632
1696.6083,1,1223.007475
1790.749532,1,1224.625957
1798.104162,1,1226.141794
1682.330801,1,1227.665371
1723.42569,1,1229.338176
1707.236593,1,1231.274034
1729.241501,1,1232.906512
1731.091123,1,1234.566066
1787.800395,1,1236.187632
1699.86017,1,1237.807795
1795.975155,1,1239.526837
1729.926249,1,1241.894458
1684.89972,1,1243.593055
1783.119044,1,1245.298932
1797.681115,1,1246.965573
1797.282199,1,1248.450855
1726.80493,1,1250.076449
1728.283199,1,1251.581514
1786.369591,1,1253.077142
1793.15522,1,1254.565163
1788.002862,1,1256.171941
1788.88954,1,1257.672331
1733.67351,1,1259.187513
1733.899108,1,1260.697089
1724.322896,1,1262.212351
1667.052032,1,1263.815698
1710.884145,1,1265.30984
1648.591163,1,1266.808678
1728.028024,1,1268.326693
1724.948981,1,1269.828736
1718.347819,1,1271.413454
1718.626334,1,1272.939064
1779.69371,1,1274.43478
1784.683305,1,1275.940112
1715.759708,1,1277.499739
1716.001419,1,1279.031904
1789.247457,1,1280.552034
1789.322055,1,1282.01795
1719.376817,1,1283.485445
1796.216935,1,1285.053107
1788.487373,1,1286.580082
1703.243924,1,1288.059208
1783.858236,1,1289.520276
1702.870264,1,1290.982976
1793.473414,1,1292.43387
1721.893341,1,1294.567676
1539.295148,1,1295.916804
1682.916575,1,1297.325447
1790.421116,1,1298.704075
1783.928214,1,1300.100055
1719.742155,1,1301.498469
1554.672893,1,1302.83972
1712.584109,1,1304.305322
1688.469711,1,1306.00132
1796.830462,1,1307.353821
1784.343028,1,1308.683226
1795.159785,1,1310.017063
1791.166285,1,1311.339027
1716.675974,1,1312.703612
1692.480969,1,1314.354986
1738.015533,1,1315.703118
1737.318037,1,1317.048665
1678.836197,1,1318.474933
1709.947583,1,1319.80966
1799.404027,1,1321.163897
1795.84793,1,1323.037502
1797.799371,1,1324.443983
1718.003117,1,1325.765774
1646.000559,1,1327.063271
1658.090992,1,1328.370925
1733.373085,1,1329.677926
1703.972618,1,1331.01102
1707.904505,1,1332.626291
1730.192641,1,1333.923964
1709.292504,1,1335.247539
1784.751244,1,1336.535493
1790.564829,1,1337.841463
1785.475776,1,1339.104691
1780.873675,1,1340.607877
1727.536127,1,1342.15001
1717.923703,1,1343.421236
1722.225107,1,1344.692978
1719.158608,1,1345.985724
1733.20918,1,1347.261697
1645.272291,1,1348.519972
1797.528194,1,1350.078337
1791.353285,1,1351.452828
1703.181441,1,1352.734948
1789.524103,1,1354.003068
1700.484905,1,1355.281633
1790.574723,1,1356.543972
1711.086893,1,1357.859048
1791.822279,1,1359.443672
1787.728968,1,1360.724039
1778.998107,1,1361.98797
1709.905961,1,1363.274456
1727.893059,1,1364.562599
1710.641936,1,1365.852358
1789.78113,1,1367.199884
1802.666288,1,1369.018684
1794.974299,1,1370.349502
1786.318058,1,1371.789377
1791.902563,1,1373.113797
1773.436787,1,1374.452761
1684.230565,1,1375.76202
