#{"t_start": 1620869098.643082, "env_id": "octorotor-v0"}
r,l,t
1801.575897,1,6.062976
1747.189103,1,7.484256
1847.757104,1,8.948242
1858.525805,1,10.390911
1754.923132,1,12.179392
1802.202713,1,13.853802
1749.884824,1,15.329288
1784.375482,1,16.81712
1784.229831,1,18.382464
1739.911638,1,19.848805
1773.806687,1,21.197937
1858.580143,1,22.627551
1816.838892,1,24.131876
1733.104032,1,25.555457
1819.97487,1,27.001878
1828.724761,1,28.513015
1823.078079,1,29.912636
1686.476023,1,31.363819
1707.990237,1,32.932002
1745.415471,1,34.555808
1846.548397,1,36.220113
1799.450556,1,37.682705
1698.400333,1,39.094934
1643.836525,1,40.569479
1750.977138,1,42.085614
1836.53122,1,43.593694
1709.417389,1,45.085876
1766.207881,1,46.646183
1780.833227,1,48.153309
1554.754517,1,49.752233
1755.967268,1,51.610075
1812.759021,1,53.214441
159.99929,1,53.546278
1606.351917,1,55.234961
1843.467325,1,56.807678
1807.730693,1,58.319316
1847.512279,1,59.988247
1844.30172,1,61.601075
1814.163536,1,63.064693
1846.861683,1,64.611752
1851.397278,1,66.243063
1805.909336,1,67.656985
1702.874286,1,69.241853
1586.302524,1,70.873319
1647.166886,1,72.450103
1680.909203,1,74.164479
1710.361138,1,75.740984
1818.697863,1,77.242579
1721.246986,1,78.734986
1719.337253,1,80.322411
1820.796834,1,81.903887
1807.007054,1,83.631121
1783.068303,1,85.370048
1805.081025,1,87.157691
1742.995516,1,88.940288
1800.922823,1,91.21622
1777.335021,1,93.004674
1820.104392,1,94.747816
1798.916723,1,96.487422
1808.340068,1,98.260414
1694.920718,1,100.12355
1797.165172,1,101.78477
1768.906104,1,103.533692
1724.929725,1,105.141671
1787.848015,1,107.01568
1825.947528,1,108.835772
1723.731344,1,110.475664
1790.046225,1,112.19596
1832.681347,1,113.839022
1763.595192,1,115.514888
1822.885509,1,117.102119
1802.058802,1,118.751848
1755.502095,1,120.435165
1821.540345,1,122.185263
1775.321292,1,123.881229
1800.971791,1,125.724547
1764.145321,1,127.823272
1816.934089,1,129.499442
1697.467636,1,131.499311
1843.237846,1,133.342566
1865.41253,1,135.691295
1852.739653,1,138.001622
1842.355967,1,140.017364
1520.033729,1,141.984377
290.803306,1,142.465113
1769.434071,1,144.819241
1779.446396,1,146.41943
1806.677207,1,148.037454
1818.920817,1,149.577123
1802.30241,1,151.19377
1767.115344,1,152.865457
1787.019893,1,154.557251
1760.918442,1,156.632756
1775.891598,1,158.956772
1783.378101,1,161.406016
1772.377768,1,163.812528
1722.467731,1,166.092602
1733.167739,1,168.222967
1807.883583,1,170.664702
1665.208877,1,172.509411
1732.868394,1,174.456893
1732.868394,1,177.011667
1824.857188,1,178.905986
1732.868394,1,180.782706
1732.868394,1,183.330522
1824.857188,1,185.640428
1732.868394,1,187.951257
1732.868394,1,189.843679
1732.868394,1,191.54165
1824.857188,1,193.135101
1824.857188,1,194.711894
1824.857188,1,196.565764
1732.868394,1,199.087629
1824.857188,1,201.447094
1824.857188,1,203.261994
1824.857188,1,204.919976
1732.868394,1,206.648937
1824.857188,1,208.458416
1824.857188,1,210.049474
1732.868394,1,211.612535
1824.857188,1,213.178395
1824.857188,1,215.108597
1732.868394,1,216.742119
1732.868394,1,218.324906
1732.868394,1,219.937677
1824.857188,1,221.566886
1732.868394,1,223.164776
