#{"t_start": 1620862465.9046884, "env_id": "octorotor-v0"}
r,l,t
1790.844018,1,4.759689
1634.700029,1,5.996768
1818.720613,1,7.133976
1805.639231,1,8.389425
1845.703176,1,9.657814
1824.144643,1,10.926918
1822.403334,1,12.235862
1809.72089,1,13.469712
1839.353077,1,14.891682
1815.290211,1,16.118058
1590.397785,1,17.424997
1720.861531,1,18.78191
1787.117987,1,20.11913
1800.613644,1,21.424409
1823.012053,1,22.725724
1812.640773,1,23.942354
1796.4081,1,25.153653
1822.057132,1,26.50269
1834.309132,1,28.463222
1787.733517,1,30.116138
1730.019433,1,31.608812
1822.585209,1,33.119207
1792.118906,1,34.609633
1804.480074,1,36.323222
1656.170638,1,37.799074
1795.466588,1,39.259866
1732.976223,1,40.744253
1610.7452,1,42.284189
1813.978645,1,43.731974
1830.893824,1,45.302502
1813.873782,1,46.833994
1797.642691,1,48.030885
1830.703239,1,49.823369
1786.365697,1,51.33264
1758.461407,1,52.79542
1737.381281,1,54.175775
1547.108511,1,55.678883
1755.520833,1,57.289288
1744.527257,1,58.758143
1797.22489,1,60.23894
1667.139105,1,61.696172
1616.335858,1,63.208814
1831.152097,1,64.845106
1794.845251,1,66.487832
1813.479914,1,68.137005
1797.926783,1,69.646851
1619.865436,1,71.245564
1749.502562,1,72.904231
1825.632265,1,74.488305
1819.35045,1,76.131124
1755.714888,1,77.733747
1832.259986,1,79.172328
1846.452252,1,80.931523
1819.372121,1,82.414595
1796.949271,1,83.946792
1785.132229,1,85.552232
1753.566195,1,87.177153
1814.428806,1,88.851671
1820.264503,1,90.361569
1785.548606,1,91.971838
1793.857252,1,93.530921
1803.46776,1,95.20235
1663.76148,1,96.872372
1626.830235,1,98.706633
1836.911707,1,100.39423
1838.20218,1,102.048299
1861.859361,1,103.764485
1660.910235,1,105.635745
1847.454064,1,107.302641
1666.24739,1,109.020218
1812.396644,1,110.665275
1772.109179,1,112.396076
1848.977861,1,114.080365
1792.493626,1,115.736545
1722.269792,1,117.430807
1764.805479,1,119.110304
1766.948373,1,120.911168
1824.497365,1,122.470776
1803.945164,1,123.998693
1851.142821,1,125.5748
1712.782442,1,127.289972
1815.061325,1,129.098899
1730.870107,1,130.751453
1817.306739,1,132.405686
1778.370536,1,134.077143
1742.577185,1,135.687443
1802.301769,1,137.272344
1762.948,1,138.872352
1817.089314,1,140.509502
1771.23031,1,142.18484
1774.311226,1,143.893753
1781.934778,1,145.601105
1783.295405,1,147.298012
1642.447321,1,148.756584
1575.613917,1,150.343682
1751.57769,1,152.001499
1761.25907,1,153.601265
1788.141872,1,155.211478
1799.809104,1,156.842676
1800.643387,1,158.385747
1806.312555,1,160.005033
1806.312555,1,161.608677
1803.166111,1,163.164311
1803.166111,1,164.854031
1796.706427,1,166.55073
1796.706427,1,168.232393
1787.301094,1,169.70995
1787.301094,1,171.052771
1755.176741,1,172.449723
1755.176741,1,173.940632
1739.634652,1,175.605817
1739.634652,1,177.261093
1711.55788,1,178.851976
1711.55788,1,180.447579
1662.021025,1,182.086346
1662.021025,1,183.738668
1593.947708,1,185.345239
1593.947708,1,186.895889
1549.99085,1,188.460937
1549.99085,1,189.98139
1538.82467,1,191.643034
1538.82467,1,193.338956
1519.365736,1,194.87454
1519.365736,1,196.426422
1478.410165,1,198.04884
1478.410165,1,199.682555
1489.841958,1,201.406215
1489.841958,1,202.98266
1482.750634,1,204.615223
1482.750634,1,206.23877
1460.347091,1,207.874344
1460.347091,1,209.557012
1465.007132,1,211.292905
1465.007132,1,212.962062
1464.083982,1,214.583625
1464.083982,1,216.202451
1436.372463,1,217.799751
1436.372463,1,219.383686
1458.990279,1,221.079843
1458.990279,1,222.775427
1450.647533,1,224.520133
1450.647533,1,226.076823
1462.350799,1,227.678846
1462.350799,1,229.328779
1459.590833,1,231.004612
1459.590833,1,232.719942
1454.745664,1,234.342331
1454.745664,1,235.952343
1456.020999,1,237.637635
1456.020999,1,239.331215
1458.979618,1,241.263411
1458.979618,1,243.018111
1467.233928,1,244.682074
1467.233928,1,246.391424
1474.921236,1,248.075355
1474.921236,1,249.75702
1468.370926,1,251.331769
1468.370926,1,252.890798
1449.198207,1,254.476779
1449.198207,1,256.06318
1485.271376,1,257.750304
1485.271376,1,259.419417
1466.848197,1,261.138864
1466.848197,1,262.779791
1457.595501,1,264.530591
1457.595501,1,266.410186
1450.915243,1,268.112665
1450.915243,1,269.784285
1456.950891,1,271.471703
1456.950891,1,273.255725
1453.255721,1,275.082763
1453.255721,1,277.005178
1461.120792,1,279.073204
1461.120792,1,280.834542
1452.937392,1,282.571296
1452.937392,1,284.266416
1472.283971,1,285.870202
1472.283971,1,287.513667
1454.740372,1,289.203763
1454.740372,1,290.884429
1441.59877,1,292.473425
1441.59877,1,294.127129
1456.096002,1,295.862518
1456.096002,1,297.823778
1446.274166,1,299.556307
1446.274166,1,301.321346
1460.362224,1,303.066689
1460.362224,1,304.811632
1458.300897,1,306.583337
1458.300897,1,308.324301
1470.209744,1,310.023422
1470.209744,1,311.681794
1455.469337,1,313.358615
1455.469337,1,315.003316
1473.105717,1,316.615022
1473.105717,1,318.268781
1474.313906,1,319.937427
1474.313906,1,321.675051
1462.482871,1,323.266146
1462.482871,1,324.820819
1457.245216,1,326.386784
1457.245216,1,327.879889
1432.477462,1,329.410634
1432.477462,1,330.925125
1469.70425,1,332.507092
1469.70425,1,334.121084
1442.090304,1,335.780815
1442.090304,1,337.478302
1448.522214,1,339.276816
1448.522214,1,341.146157
1445.244068,1,342.870212
1445.244068,1,344.618259
1467.701178,1,346.444989
1467.701178,1,348.264722
1463.75047,1,349.922283
1463.75047,1,351.533671
1466.154083,1,353.319465
1466.154083,1,354.915439
