#{"t_start": 1620843981.31431, "env_id": "octorotor-v0"}
r,l,t
1836.070876,1,4.641987
1784.184106,1,5.746238
1808.735563,1,6.976199
1742.685309,1,8.112714
1652.036805,1,9.350714
1752.35301,1,10.61235
1839.39401,1,11.848101
1595.65792,1,13.113143
1770.717065,1,14.365927
1801.58717,1,15.607912
1817.255389,1,16.844036
1717.129599,1,18.052782
1609.245708,1,19.320261
1821.114221,1,20.496593
1770.197489,1,21.745899
1800.900071,1,23.009084
1797.904483,1,24.314651
1716.365876,1,25.637522
1755.631566,1,26.976211
1741.720437,1,28.234396
1788.340697,1,29.507678
1834.675614,1,30.763593
1812.751653,1,32.089871
1801.632983,1,33.393327
1799.491048,1,34.821914
1647.212676,1,36.434337
1759.195463,1,37.765947
1848.892766,1,39.054544
1829.255234,1,40.32165
1793.157185,1,41.62538
1828.085855,1,42.977757
1825.73464,1,44.235574
1806.470632,1,45.477449
1739.535341,1,46.830604
1830.23767,1,48.194551
1818.661851,1,49.50459
1773.817527,1,50.824939
1801.470999,1,52.097572
1816.34612,1,53.385209
1592.212535,1,54.608258
1734.361782,1,55.903087
1857.260967,1,57.211542
1786.463154,1,58.516234
1848.051155,1,59.782976
1833.802749,1,61.02367
1802.812864,1,62.274492
1853.934458,1,63.54252
1798.336597,1,64.710841
1773.35464,1,65.977284
1807.962075,1,67.133365
1826.540465,1,68.391332
1769.529932,1,69.665066
1830.668032,1,70.902954
1743.01859,1,72.16018
1847.392982,1,73.440017
1854.778867,1,74.684189
1760.216983,1,75.953534
1728.813727,1,77.226155
1686.515485,1,78.493542
1796.617442,1,79.756592
1675.136695,1,81.021229
1815.345677,1,82.161855
1684.311772,1,83.429962
1756.207076,1,84.689227
1775.37693,1,85.933811
1752.571183,1,87.154407
1819.616425,1,88.40727
1823.255123,1,89.644049
1801.863012,1,90.910929
1831.261337,1,92.199538
1736.655478,1,93.479476
1798.599041,1,94.760471
1832.624852,1,96.014401
1792.063038,1,97.305304
1596.750091,1,98.592923
1784.793261,1,99.892265
1730.584359,1,101.037182
1829.011593,1,102.342669
1813.028311,1,103.574383
1845.036701,1,104.834784
1822.388318,1,106.096066
1805.93187,1,107.3376
1836.678615,1,108.605242
1764.324563,1,109.952213
1834.863566,1,111.215452
1771.857067,1,112.522888
1800.016959,1,113.804579
1825.984716,1,115.069557
1847.598157,1,116.326704
1783.996748,1,117.58081
