#{"t_start": 1620864336.9641933, "env_id": "octorotor-v0"}
r,l,t
1802.299555,1,6.558146
1741.857549,1,8.325872
1769.45538,1,10.099401
1835.704676,1,11.79559
1745.341935,1,13.532955
1826.820259,1,15.385511
1821.837434,1,17.020621
1804.563224,1,18.795804
1804.709497,1,20.609442
1717.557906,1,22.341319
1597.401427,1,24.114118
1796.340471,1,25.961423
1830.742347,1,27.785151
1820.458244,1,29.462378
1684.004672,1,31.318686
1782.370805,1,33.17056
1852.910145,1,35.060627
1749.171949,1,36.666674
1754.645198,1,38.300855
1784.104893,1,39.921993
1714.251562,1,41.514904
1649.809241,1,43.165064
1808.719153,1,45.134352
1805.843294,1,47.036255
1770.252261,1,48.759286
1743.025195,1,50.560768
1685.542801,1,52.654625
1852.438556,1,54.664325
1675.489826,1,56.766992
1576.847314,1,58.645064
1843.360845,1,60.56005
1747.76562,1,62.300107
1776.520145,1,63.907436
1762.004085,1,65.77013
1788.288685,1,67.773399
1797.110213,1,69.660472
1749.045485,1,71.867126
1839.590129,1,74.111054
1705.033383,1,76.473205
1821.040063,1,78.963719
1788.654939,1,81.807409
1813.369404,1,84.12069
1805.644561,1,86.648573
1809.855523,1,89.575605
1812.119874,1,91.428764
1827.55961,1,93.428418
1682.028619,1,95.253848
1806.103205,1,97.214813
1817.240779,1,99.077113
1855.994198,1,100.941314
1691.513163,1,102.763263
1797.861122,1,104.817834
1829.176575,1,106.747787
1821.467942,1,108.80989
1806.664991,1,110.733248
1794.511242,1,112.757837
1813.521432,1,114.937028
1539.433485,1,116.844678
1775.545116,1,118.69898
1830.093485,1,120.559446
1815.059486,1,122.509849
1788.755056,1,124.477334
1668.921785,1,126.509769
1741.206361,1,128.378103
1780.912605,1,130.3439
1840.120593,1,133.021055
1741.060532,1,135.802453
1842.084051,1,138.096522
1659.977014,1,140.31658
1748.215468,1,142.688435
1719.722517,1,145.100151
1735.578622,1,147.423674
1717.948391,1,149.334115
1710.795372,1,151.141583
1821.912545,1,152.952348
1813.772722,1,154.766393
1840.230319,1,156.617618
1752.173532,1,158.531123
1697.511055,1,160.480104
1777.543966,1,162.382666
1786.107266,1,164.199305
1652.760134,1,166.503199
1764.958243,1,168.328664
1831.242074,1,170.077681
1800.63175,1,171.831369
1771.045357,1,173.657001
1788.63204,1,175.518899
1759.951014,1,177.376102
1817.446877,1,179.129297
1801.328063,1,181.421951
1757.068855,1,183.319732
1804.645596,1,185.271033
1835.990523,1,187.133855
1843.010893,1,189.038694
1820.075023,1,191.08064
1860.919385,1,193.006561
1804.368088,1,194.810952
1863.13093,1,196.641162
1798.094792,1,198.479395
1753.841539,1,200.247002
1813.582919,1,202.232322
1775.689693,1,204.457996
1719.760467,1,206.850907
1670.138756,1,209.441945
1626.057708,1,211.635893
1592.231119,1,213.609568
1563.980571,1,215.573694
1543.606778,1,217.437836
1528.94035,1,219.453484
1515.317982,1,221.773099
1509.082446,1,224.108741
1503.63327,1,226.256898
1502.665829,1,228.441162
1497.747433,1,230.562344
1498.534708,1,232.638277
1498.277304,1,234.722386
1499.239007,1,236.806317
1492.776347,1,238.802913
1498.653299,1,240.862605
1495.376325,1,242.973383
1497.017873,1,244.947027
1492.471641,1,246.872059
1493.134035,1,248.822928
1499.79293,1,250.7779
1493.887647,1,252.737226
1496.339496,1,254.777655
1499.387961,1,256.787464
1493.157303,1,258.765921
1495.672909,1,260.759462
1501.312142,1,262.810584
1494.747703,1,264.677065
1495.575197,1,266.581515
1493.595501,1,268.493674
1495.570618,1,270.471874
1498.36262,1,272.399481
1494.335011,1,274.500644
1496.357954,1,276.583935
1497.402042,1,279.378007
1496.156504,1,282.192533
1498.946968,1,285.033554
1497.417166,1,287.492458
1493.76165,1,289.609712
1496.611557,1,291.693085
