#{"t_start": 1620882795.7362068, "env_id": "octorotor-v0"}
r,l,t
1811.738938,1,7.31438
1832.738482,1,9.143004
1703.180976,1,10.860901
1781.446604,1,12.726425
1555.082551,1,14.813469
1495.281136,1,16.805952
1851.698153,1,18.86654
1828.587924,1,20.929156
1787.895278,1,22.767727
1784.922002,1,24.616755
1808.793601,1,26.596946
1841.265624,1,28.596014
1601.271023,1,30.671894
1668.916175,1,32.559334
1818.165233,1,34.416635
1716.010961,1,36.192639
1785.455149,1,38.061004
1836.36901,1,39.960401
1797.736875,1,41.761056
1813.609694,1,43.476798
1745.956063,1,45.282464
1634.799193,1,47.025654
1750.311965,1,48.761899
1826.611042,1,50.550634
1586.712526,1,52.275949
1781.016161,1,54.039256
1816.303881,1,55.85492
1734.380385,1,57.63531
1853.676948,1,59.361767
1789.426409,1,61.004715
1835.108412,1,62.7851
1811.260064,1,64.764938
1681.354652,1,66.758023
1725.22375,1,68.608106
1784.631963,1,70.350669
1828.035555,1,72.102621
1833.009903,1,73.889366
1797.688718,1,75.66731
1820.916859,1,77.464479
1735.90014,1,79.216074
1771.110176,1,81.01366
1814.574376,1,82.829974
1803.489633,1,84.786328
1772.741308,1,86.60794
1633.92013,1,88.442691
1824.37148,1,90.30007
1817.498525,1,92.163431
1821.144707,1,94.042808
1829.258065,1,95.862434
1793.985801,1,97.629268
1608.015641,1,99.361887
1704.41738,1,101.166665
1772.037721,1,103.038444
1831.268321,1,105.040123
1742.952666,1,106.890978
1776.731528,1,108.707142
1821.935771,1,110.638572
1846.491798,1,112.475699
1805.579738,1,114.387438
1805.832499,1,116.159479
1822.333845,1,118.065398
1630.766306,1,119.842114
1781.731029,1,121.763787
1805.594083,1,123.70903
1834.805558,1,125.453074
1725.957886,1,127.32638
1785.279327,1,129.149449
1754.958911,1,131.086182
1804.01568,1,132.897848
1781.648546,1,134.737559
1819.13788,1,136.637651
1798.703464,1,138.351709
1792.362469,1,140.080295
1711.035908,1,141.828659
1807.57996,1,143.611976
1783.219209,1,145.428294
1799.665368,1,147.139025
1852.527279,1,148.929132
1827.737358,1,150.806417
280.374819,1,151.356332
1807.434517,1,153.123324
1813.583509,1,154.887838
1762.27544,1,156.709682
1753.579761,1,158.50854
1833.085947,1,160.284793
1818.077851,1,162.067107
1813.043068,1,163.81519
1815.15102,1,165.672581
163.247073,1,166.019571
1726.981569,1,167.776357
1856.524391,1,169.52574
1800.718827,1,171.250154
1755.843757,1,172.975674
186.781996,1,173.278321
1820.831356,1,175.002419
1775.931341,1,176.765484
1808.549471,1,178.519195
1760.309079,1,180.236229
1823.950431,1,181.947162
1695.299171,1,183.725628
1459.328445,1,185.602258
1459.328445,1,187.450553
1494.725248,1,189.230613
1494.725248,1,191.076272
1494.725248,1,192.93822
1494.725248,1,194.743409
1459.328445,1,196.568999
1459.328445,1,198.558291
1494.725248,1,200.842153
1459.328445,1,202.889175
1494.725248,1,204.803184
1459.328445,1,206.708638
1459.328445,1,208.473451
1494.725248,1,210.259897
1494.103928,1,212.039371
1494.103928,1,213.810332
1494.103928,1,215.566571
1459.328445,1,217.364006
1494.103928,1,219.164234
1459.328445,1,220.965216
1459.328445,1,222.785578
1494.103928,1,224.582617
1494.103928,1,226.391505
1459.328445,1,228.194947
1494.103928,1,230.018366
1494.103928,1,231.946347
1459.328445,1,234.021302
1494.103928,1,236.02164
1459.328445,1,237.966686
1459.328445,1,239.871602
1494.103928,1,241.689234
1494.103928,1,243.447514
1459.328445,1,245.29083
1459.328445,1,247.163596
1459.328445,1,249.086994
1459.328445,1,251.082449
1459.328445,1,253.057072
1494.103928,1,254.896673
1459.328445,1,256.742976
1459.328445,1,258.802201
1459.328445,1,260.732747
1494.103928,1,262.614486
1494.103928,1,264.47055
1459.328445,1,266.317583
1494.103928,1,268.157385
1459.328445,1,270.103812
1459.328445,1,272.041759
1459.328445,1,274.120723
1459.328445,1,276.133483
1494.103928,1,278.247391
1494.103928,1,280.275247
1494.103928,1,282.221263
1494.103928,1,284.248786
1459.328445,1,286.35263
1459.328445,1,288.363866
1459.328445,1,290.262793
1459.328445,1,292.160782
1494.103928,1,294.082021
1459.328445,1,296.089673
1494.103928,1,297.981908
1459.328445,1,299.833589
1459.328445,1,301.67955
1494.103928,1,303.563167
1459.328445,1,305.446041
1459.328445,1,307.559349
1494.103928,1,309.522717
1459.328445,1,311.771416
1494.103928,1,313.677285
1459.328445,1,315.642918
1459.328445,1,317.630546
1459.328445,1,319.567734
1459.328445,1,321.618657
1459.328445,1,323.598664
1494.103928,1,325.530258
1494.103928,1,327.485088
1494.103928,1,329.335169
1459.328445,1,331.171608
1494.103928,1,333.118177
1459.328445,1,334.999061
1494.103928,1,336.909078
1494.103928,1,338.691094
1459.328445,1,340.647014
1459.328445,1,342.489375
1494.103928,1,344.276889
1494.103928,1,346.207572
1494.103928,1,348.332198
1494.103928,1,350.265949
1459.328445,1,352.1581
1494.103928,1,354.060583
1459.328445,1,356.099219
1494.103928,1,358.363563
1494.103928,1,360.398808
1459.328445,1,362.422379
1494.103928,1,364.542773
1494.103928,1,366.535093
1459.328445,1,368.440944
1459.328445,1,370.27046
1494.103928,1,372.025582
1494.103928,1,373.867606
1459.328445,1,375.652027
1494.103928,1,377.467293
1494.103928,1,379.376941
1459.328445,1,381.357835
1459.328445,1,383.432382
1494.103928,1,385.377053
1494.103928,1,387.368303
1459.328445,1,389.222361
1459.328445,1,391.215368
1494.103928,1,393.256644
1494.103928,1,395.454063
1494.103928,1,397.630607
1459.328445,1,400.157025
1494.103928,1,402.383032
1494.103928,1,404.466048
1494.103928,1,406.571403
1494.103928,1,408.660996
1494.103928,1,410.674794
1494.103928,1,412.992978
1494.103928,1,415.12919
1494.103928,1,417.2228
1494.103928,1,419.382895
1494.103928,1,421.352161
1459.328445,1,423.585179
1459.328445,1,425.760174
1494.103928,1,427.698357
1494.103928,1,429.899917
1494.103928,1,431.892573
1494.103928,1,433.888054
1459.328445,1,435.882307
1494.103928,1,437.818049
1494.103928,1,439.719923
1459.328445,1,441.664491
1494.601645,1,443.602656
1494.601645,1,445.798576
1494.601645,1,448.052801
1494.601645,1,450.185947
1459.328445,1,452.119774
1459.328445,1,454.076183
1459.328445,1,455.994926
1459.328445,1,457.891595
1459.328445,1,459.828154
1459.328445,1,461.842265
1494.601645,1,463.721358
1494.601645,1,465.782856
1494.601645,1,468.009364
1459.328445,1,469.980423
1494.601645,1,471.898327
1459.328445,1,473.854025
1494.601645,1,475.748731
1459.328445,1,477.795347
1459.328445,1,479.854134
1494.601645,1,481.793635
1494.601645,1,483.880978
1494.601645,1,485.979581
1494.601645,1,487.860484
1494.601645,1,489.779734
1459.328445,1,492.034328
1494.601645,1,494.030323
1459.328445,1,495.997509
1459.328445,1,497.918839
1494.601645,1,500.047791
1459.328445,1,502.036697
1494.601645,1,504.161209
1494.601645,1,506.365506
1459.328445,1,508.360934
1494.601645,1,510.242731
1494.601645,1,512.229771
1459.328445,1,514.440268
1494.601645,1,516.464652
1494.601645,1,518.407988
1494.601645,1,520.305041
1494.601645,1,522.157425
1459.328445,1,524.444971
1459.328445,1,526.384038
1494.601645,1,528.268867
1494.601645,1,530.356256
1459.328445,1,532.266927
1494.601645,1,534.26665
1459.328445,1,536.357952
1459.328445,1,538.404911
1459.328445,1,540.445821
1459.328445,1,542.53136
1494.601645,1,544.454121
1494.601645,1,546.515527
1494.601645,1,548.596076
1494.601645,1,550.6233
1494.601645,1,552.732669
1494.601645,1,554.715699
1459.328445,1,556.627142
1494.601645,1,558.613398
1459.328445,1,560.600241
1459.328445,1,562.664762
1494.601645,1,564.44996
1459.328445,1,566.254301
1459.328445,1,568.169127
1494.601645,1,570.055539
1459.328445,1,572.005127
1459.328445,1,574.067295
1459.328445,1,576.184185
1459.328445,1,578.691777
1459.328445,1,581.239108
1494.601645,1,583.420774
