#{"t_start": 1620862496.774401, "env_id": "octorotor-v0"}
r,l,t
1822.048993,1,5.763723
1829.526266,1,7.210767
1653.799219,1,8.65056
1847.850188,1,10.000498
1844.394546,1,11.454036
1826.581819,1,12.913157
1778.240474,1,14.277863
1828.389467,1,15.682103
1830.90223,1,16.972202
1815.339893,1,18.506752
1478.358403,1,20.052825
1850.646485,1,21.30179
1831.627097,1,22.666383
1842.093487,1,24.051023
1450.876382,1,25.506171
1576.53518,1,27.026625
1823.85753,1,28.433634
1866.953844,1,29.863068
1494.606939,1,31.376772
1800.265735,1,32.858319
1620.890533,1,34.43487
1839.418708,1,36.069345
1862.946782,1,37.668669
1824.857188,1,39.260495
1803.390643,1,40.675684
1822.038049,1,42.384497
1494.007169,1,43.902638
1642.996478,1,45.452282
1844.394546,1,47.013025
1850.646485,1,48.367679
1605.197438,1,50.056335
1828.389467,1,51.5852
1828.389467,1,53.145515
1846.433891,1,54.854929
1839.640689,1,56.412482
1846.351773,1,58.179984
1456.996676,1,59.723601
1847.113989,1,61.327794
1451.280623,1,62.992616
1566.479078,1,64.725918
1824.857188,1,66.577041
1828.389467,1,68.282634
1804.917522,1,69.952208
1494.007169,1,71.565028
1859.956925,1,73.272076
1478.358403,1,75.175184
1838.210435,1,76.695567
1861.571422,1,78.251469
1797.040731,1,79.76386
1687.318646,1,81.400873
1574.719065,1,83.167663
1831.348969,1,84.803835
1844.394546,1,86.46419
1828.389467,1,88.134008
1767.187904,1,89.859089
1498.768422,1,91.63185
1850.646485,1,93.180507
1842.173877,1,94.818872
1658.298711,1,96.462097
1853.65047,1,98.277264
1799.164727,1,99.946108
1742.942713,1,101.713122
1800.265735,1,103.43876
1489.522483,1,105.112941
1462.74048,1,106.836911
1844.281775,1,108.616417
1499.258932,1,110.345985
1840.078517,1,111.962697
1470.499817,1,113.643002
1829.092144,1,115.29649
1607.456672,1,117.044128
1636.851279,1,118.703027
1497.654818,1,120.329268
1856.304935,1,122.051964
1527.183591,1,123.686416
1835.948955,1,125.444947
1860.744358,1,127.130917
1685.277965,1,128.833119
1840.085646,1,130.594487
1850.646485,1,132.229671
1865.819976,1,134.069118
1722.268594,1,135.710072
1838.26266,1,137.464965
1855.085848,1,139.095617
1494.007169,1,140.677094
1604.14341,1,142.336148
1833.113634,1,143.96153
1609.469619,1,145.641909
1823.00823,1,147.345397
1828.389467,1,148.993505
1851.964887,1,150.79333
1832.91983,1,152.406736
1424.929811,1,154.119277
1828.389467,1,155.664662
1850.159529,1,157.226563
1833.017145,1,158.819361
1828.389467,1,160.564413
1791.950954,1,162.304697
1844.394546,1,163.966235
1635.218431,1,165.60181
1806.651677,1,167.264834
1840.239363,1,168.863275
1857.402682,1,170.514386
1844.394546,1,172.065696
1859.346923,1,173.662963
1843.012468,1,175.349761
1846.373656,1,177.019076
1836.800957,1,178.842429
1824.857188,1,180.508957
1841.879412,1,182.266537
1831.999011,1,184.026461
1841.786031,1,185.768813
1836.536918,1,187.453489
1633.149236,1,189.00832
1782.756545,1,190.579505
1836.481658,1,192.127784
1746.333618,1,193.881888
1843.529703,1,195.492147
1827.599516,1,197.037871
1838.981898,1,198.760238
1490.831651,1,200.4851
1833.790851,1,202.23844
1849.317947,1,203.879234
1842.174911,1,205.504256
1838.210435,1,207.078154
1661.582192,1,208.837369
1832.897135,1,210.739603
1822.064529,1,212.370727
1828.389467,1,213.92416
1855.89221,1,215.586372
1859.013503,1,217.253238
1488.824642,1,218.865291
1831.277344,1,220.479285
1559.336783,1,222.062264
1563.752239,1,223.71032
1728.659626,1,225.462888
1472.926271,1,227.178962
1727.683682,1,228.880131
1833.619485,1,230.624404
1830.200312,1,232.328213
1715.87031,1,234.211592
1844.394546,1,235.899593
1493.563914,1,237.687593
1483.178042,1,239.553463
1828.389467,1,241.332496
1574.899235,1,243.298584
1320.299176,1,245.104175
1845.19753,1,247.103114
1844.454279,1,249.095726
1500.962929,1,250.834936
1845.515293,1,252.643556
1844.800249,1,254.290846
1758.586036,1,255.942845
1772.194842,1,257.569872
1719.969596,1,259.45207
1841.205277,1,261.133379
1636.584715,1,262.751832
1726.193282,1,264.580461
1859.501475,1,266.776255
1856.191251,1,268.558498
1793.463083,1,270.293114
1667.831913,1,272.025425
1824.857188,1,273.709944
1828.389467,1,275.380107
1794.392873,1,277.068364
1751.069367,1,278.827451
1495.000725,1,280.520438
1741.590693,1,282.169912
1789.760128,1,283.689141
1733.324876,1,285.318058
1824.857188,1,287.072825
1481.320819,1,288.870595
1826.840894,1,290.549893
1494.007169,1,292.208926
1753.629916,1,293.888067
1833.994359,1,295.623568
1840.93434,1,297.238501
1852.825874,1,298.910091
1808.801073,1,300.426821
1841.083636,1,301.986224
1768.416358,1,303.73875
1842.732046,1,305.457219
1843.364079,1,307.266129
1830.719969,1,309.032812
1766.765701,1,311.184361
1848.254253,1,313.057271
1598.507051,1,314.896755
1733.913443,1,316.629398
