#{"t_start": 1620878668.1996644, "env_id": "octorotor-v0"}
r,l,t
1850.646485,1,6.615632
1783.482345,1,8.84401
1519.519261,1,10.941107
1519.519261,1,12.903448
1850.646485,1,14.688998
1789.511187,1,16.72662
1519.519261,1,18.696081
1519.519261,1,20.631824
1519.519261,1,22.935055
1860.602215,1,24.942927
1850.646485,1,26.932024
1783.482345,1,29.365229
1519.519261,1,31.32765
1850.646485,1,33.098274
1519.519261,1,35.027559
1850.646485,1,37.071142
1783.482345,1,38.799819
1850.646485,1,40.521495
1850.646485,1,42.373821
1519.519261,1,44.152347
1850.646485,1,45.830992
1861.138812,1,47.804148
1839.828374,1,49.833498
1519.519261,1,51.739414
1519.519261,1,53.62605
1519.519261,1,55.548676
1784.211183,1,58.418573
1850.646485,1,60.227001
1519.519261,1,61.983613
1850.646485,1,63.669698
1519.519261,1,66.012709
1519.519261,1,67.893037
1519.519261,1,69.787621
1850.646485,1,71.581704
1850.646485,1,74.136315
1519.519261,1,76.052568
1519.519261,1,77.941995
1859.555445,1,79.935173
1850.646485,1,82.298823
1841.560638,1,84.27292
1802.495244,1,86.276659
1853.69989,1,88.261295
1519.519261,1,90.383419
1842.417376,1,93.036358
1726.809837,1,95.048171
1850.646485,1,96.949453
1519.519261,1,98.993884
1846.453379,1,100.987008
1519.519261,1,102.879099
1519.519261,1,104.782258
1850.646485,1,107.22829
1850.646485,1,109.242606
1846.816906,1,111.311733
1519.519261,1,113.190734
1841.405335,1,115.408888
1844.394546,1,118.083073
1858.064914,1,119.989607
1519.519261,1,121.843398
1850.646485,1,123.655976
1519.519261,1,125.444164
1519.519261,1,127.25861
1519.519261,1,129.042238
1792.058995,1,131.014747
1850.646485,1,132.794766
1519.519261,1,134.56581
1851.202341,1,136.988559
1850.646485,1,138.646488
1519.519261,1,140.434469
1850.646485,1,142.129483
1844.394546,1,144.073291
1519.519261,1,145.929877
1850.646485,1,147.627992
1851.442394,1,149.86575
1850.646485,1,151.698271
1863.044738,1,153.737879
1850.646485,1,155.622989
1519.519261,1,157.564735
1478.558583,1,159.977623
1850.646485,1,161.892498
1837.767297,1,163.876198
1519.519261,1,165.951789
1519.519261,1,168.643524
1850.646485,1,170.508701
1853.070616,1,172.34362
1519.519261,1,174.298347
1519.519261,1,177.064653
1519.519261,1,178.840116
1856.358804,1,180.78892
1740.564221,1,182.772117
1850.646485,1,184.790058
1844.394546,1,187.328156
1859.262377,1,189.357855
1863.083816,1,191.357016
1836.649133,1,193.438979
1580.164534,1,196.031923
1519.519261,1,197.974854
1519.519261,1,199.811684
1860.754126,1,201.75691
1838.210435,1,204.499465
1850.646485,1,206.248006
1519.519261,1,208.13657
1850.646485,1,209.899652
1850.646485,1,212.132801
1519.519261,1,214.125253
1860.542949,1,216.278963
1519.519261,1,218.396065
1850.646485,1,220.467587
1551.995135,1,223.110393
1860.071378,1,225.320378
1850.646485,1,227.243211
1861.620835,1,229.439654
1519.519261,1,232.073978
1858.875599,1,234.143644
1851.299995,1,236.185441
1861.566859,1,238.235724
1850.646485,1,240.825946
1519.519261,1,242.71948
1850.646485,1,244.506938
1587.996847,1,246.403115
1850.646485,1,248.248144
1844.084712,1,251.128156
1855.792533,1,253.053302
1519.519261,1,254.901474
1519.519261,1,256.838632
1850.646485,1,259.125037
1850.646485,1,260.929003
1850.646485,1,262.692108
1519.519261,1,264.641101
1857.865204,1,266.72233
1519.519261,1,269.467856
1841.373694,1,271.532088
1519.519261,1,273.521044
1850.646485,1,275.271618
1519.519261,1,277.416246
1824.857188,1,279.756317
1855.184659,1,281.866741
1779.508446,1,283.893562
1852.532584,1,285.953382
1519.519261,1,288.440637
1844.394546,1,290.463668
1855.996713,1,292.537838
1519.519261,1,294.439229
1519.519261,1,296.994721
1758.240317,1,298.903632
1850.646485,1,300.647037
1844.394546,1,302.709035
1826.6671,1,305.403935
1801.743567,1,307.339492
282.752006,1,307.834239
1519.519261,1,309.807615
1850.646485,1,311.772733
1838.210435,1,313.989017
1843.547967,1,316.50732
1858.835803,1,318.547094
1850.646485,1,320.394166
1841.698291,1,322.519115
1784.412478,1,325.362669
1844.394546,1,327.356232
1792.671458,1,329.391195
1841.848436,1,331.403743
1519.519261,1,333.610955
1519.519261,1,336.414797
1184.376795,1,338.329998
1850.646485,1,340.290069
1862.676046,1,342.514538
1641.295231,1,345.20819
1858.327562,1,347.299455
1519.519261,1,349.284405
1850.646485,1,351.074356
1797.452141,1,353.920722
1849.314276,1,355.938764
1519.519261,1,357.822472
1837.853926,1,359.933164
1519.519261,1,362.017776
1519.519261,1,364.057776
1850.646485,1,366.065022
1844.394546,1,368.172255
1519.519261,1,370.834417
1846.47225,1,372.934288
1860.334685,1,374.998575
1519.519261,1,377.017104
1858.742589,1,379.678879
1844.394546,1,381.679427
1806.745984,1,383.638285
1519.519261,1,385.538651
1519.519261,1,388.281164
1519.519261,1,390.166829
1519.519261,1,392.082095
1859.528249,1,394.121456
