#{"t_start": 1620873939.8694646, "env_id": "octorotor-v0"}
r,l,t
1815.370775,1,6.352132
1661.030052,1,8.019252
1812.825858,1,9.614626
1763.090902,1,11.12183
1822.521629,1,12.69633
1670.927983,1,14.286423
1744.320555,1,15.861651
1780.880297,1,17.403565
1786.730027,1,19.019826
1823.173506,1,20.651464
1793.571529,1,22.208871
1782.396983,1,23.796128
1806.50285,1,25.412698
1683.150726,1,27.386346
1691.105258,1,29.163918
1824.102835,1,31.029426
1811.557797,1,32.756855
1759.887009,1,34.556955
1603.100805,1,36.462274
1661.716813,1,38.56157
1841.039277,1,40.471901
1673.064826,1,42.394065
1793.440806,1,44.255304
1785.165685,1,46.154436
1730.339275,1,48.049065
1796.714923,1,49.900758
1796.193409,1,51.536015
1792.151698,1,53.243493
1774.531673,1,55.037036
1684.109325,1,56.937483
1761.087918,1,58.837297
1833.493686,1,60.726121
1755.933699,1,62.770591
1795.178526,1,64.59366
1801.082478,1,66.445011
1750.45419,1,68.269111
1814.111468,1,70.028562
1561.214908,1,71.837466
1800.604254,1,73.507843
1803.556464,1,75.242471
1783.898758,1,76.957662
1761.026088,1,78.714177
1798.72513,1,80.386737
1779.610557,1,82.107433
1837.472613,1,83.855819
1599.540832,1,85.738944
1781.050563,1,87.553217
1817.166605,1,89.351088
1793.530803,1,91.147609
1734.767166,1,92.928219
1744.985021,1,94.687691
1685.350966,1,96.456905
1776.981788,1,98.256351
1806.312122,1,99.990876
1709.916061,1,101.768745
1814.427765,1,103.455624
1628.507925,1,105.246223
1762.941421,1,107.084042
1807.366514,1,108.765805
1811.873362,1,110.698417
1800.384543,1,112.469161
1752.858912,1,114.254911
148.299779,1,114.521354
185.124876,1,114.876448
1663.578225,1,116.622736
1864.011942,1,118.350894
1793.430738,1,120.122947
1704.709424,1,121.910308
1796.551386,1,123.630656
1807.301279,1,125.378211
1677.512977,1,127.11656
1815.694123,1,128.860053
1784.171187,1,130.591542
1733.741867,1,132.365346
1783.589112,1,134.120531
1563.552471,1,135.82519
1583.64977,1,137.460581
1781.594546,1,139.159869
1803.214471,1,140.95174
1816.994043,1,142.658392
1716.776028,1,144.398481
1781.346014,1,146.170806
1721.087002,1,147.835647
1842.5573,1,149.485035
1742.117151,1,151.236525
1850.255422,1,152.992222
1851.761505,1,154.771912
1714.865088,1,156.425293
1740.46498,1,158.157264
1745.552987,1,159.974877
1741.581246,1,161.821085
1775.73334,1,163.591732
1700.21128,1,165.385599
1641.000338,1,167.119964
1810.13627,1,168.751968
1740.112235,1,170.556064
1830.599128,1,172.299799
1751.733993,1,173.991322
1727.483283,1,175.749365
1812.113639,1,177.463378
1785.844084,1,179.214718
1791.679082,1,180.91606
1712.648159,1,182.660429
1725.909004,1,184.412103
1784.397506,1,186.147797
1796.54828,1,187.897351
1706.762039,1,189.639913
1789.501353,1,191.386183
1725.352874,1,193.150315
1701.222913,1,194.900269
1557.069601,1,196.563872
1727.821113,1,198.398197
1787.195605,1,200.113591
1701.740578,1,201.866158
1787.684308,1,203.599919
1782.228904,1,205.301799
1729.589505,1,207.012914
1794.129132,1,208.816735
1796.622009,1,210.568644
1788.843443,1,212.324396
1790.768357,1,214.15922
1719.980941,1,215.916135
1723.705188,1,217.739505
1728.931752,1,219.558265
1715.538479,1,221.285912
1787.843489,1,223.129073
1693.411542,1,224.988784
1720.471728,1,226.781178
1786.75139,1,228.601704
1672.926434,1,230.407838
1792.488618,1,232.238525
1723.564092,1,234.076398
1782.747442,1,235.866072
1650.565616,1,237.713152
1792.755016,1,239.663176
1774.687007,1,241.597617
1785.115475,1,243.600926
1604.43198,1,245.399217
1785.960176,1,247.211961
1785.295492,1,249.0527
1789.853157,1,250.849933
