#{"t_start": 1620866637.759463, "env_id": "octorotor-v0"}
r,l,t
1595.782936,1,8.976214
1758.161286,1,11.152499
1813.283868,1,13.361642
1741.063075,1,15.892662
1839.531301,1,18.192412
1838.453199,1,20.458975
1814.221,1,22.747962
1605.638004,1,25.023206
1828.658703,1,27.460237
1782.320022,1,29.569307
1559.053747,1,32.176574
1811.915368,1,34.435914
1807.814619,1,36.657011
1632.191116,1,38.731315
1810.979896,1,40.823881
1753.198365,1,43.107523
1816.140817,1,45.486351
1659.090294,1,47.878401
1814.391145,1,50.041902
1801.251316,1,52.210891
1846.759891,1,54.280304
1707.817578,1,56.605018
1827.037889,1,58.762748
1841.560251,1,61.017574
1797.733321,1,63.547337
1707.944823,1,65.846483
1785.355243,1,68.239416
1713.172773,1,70.501364
1673.857749,1,72.766351
1834.344738,1,75.131578
1823.198858,1,77.528222
1806.311074,1,79.723634
1708.078122,1,82.274533
1745.11424,1,84.323668
1850.727396,1,86.516462
1733.310786,1,88.778292
1845.209109,1,91.388582
1830.356985,1,93.564199
1803.414331,1,95.807076
1844.116569,1,98.158167
1780.654177,1,100.291188
1697.894659,1,102.56894
1798.381092,1,104.721404
1808.800868,1,107.046849
1753.427587,1,109.465937
1796.74612,1,112.54435
1803.094699,1,114.574433
1770.761754,1,117.06903
1806.762173,1,119.443448
1618.892085,1,121.573373
1792.422599,1,123.852065
1785.245543,1,126.147541
1475.486119,1,128.609842
1796.968802,1,130.78523
1709.66807,1,133.0393
1693.9244,1,135.134597
1698.866741,1,137.533015
1841.789108,1,140.025127
1802.876195,1,142.566249
1803.554861,1,144.638919
1798.825103,1,147.028029
1714.504972,1,149.387502
1802.711408,1,151.671707
1754.963131,1,154.054134
1836.998411,1,156.374821
1802.01446,1,158.510991
1823.481041,1,160.655309
1792.324663,1,163.196233
1819.086584,1,165.485801
1813.708637,1,167.775685
1814.067189,1,170.157317
1848.78295,1,172.580913
1804.371769,1,174.94141
1786.407536,1,177.199016
1751.328486,1,179.453489
1820.807983,1,181.881265
1840.386334,1,184.203023
1761.895679,1,186.622069
1825.219936,1,188.91017
1823.135612,1,191.332277
1794.295783,1,193.577252
1773.734305,1,195.634587
1812.285546,1,197.83555
1749.195296,1,200.103444
1778.801724,1,202.483171
1754.299669,1,204.980961
1813.616401,1,207.095405
1853.189406,1,209.341437
1857.650592,1,211.769482
1819.625966,1,213.917082
1827.69241,1,216.060259
1780.563441,1,218.105912
1630.543491,1,220.104735
1807.942883,1,222.355654
1845.441135,1,224.738964
1816.817644,1,227.156439
1777.440668,1,229.410136
1770.406653,1,233.272612
1732.689259,1,236.2181
1744.030544,1,238.933118
1555.257975,1,241.547592
1859.613924,1,243.949709
1854.688179,1,246.44089
1815.578373,1,248.618852
1809.212216,1,250.879431
1783.893073,1,253.06049
1773.784129,1,255.154214
1825.918257,1,257.291986
1808.77757,1,259.358914
1759.970788,1,261.347968
1804.178669,1,263.402163
1781.45388,1,265.821321
1789.806602,1,268.292481
1764.368154,1,270.505301
1751.242319,1,272.881596
1803.908144,1,275.168469
1716.74725,1,277.569674
1782.382801,1,279.938758
1682.753667,1,282.285336
1744.782526,1,284.820249
1819.873439,1,287.180021
1845.033142,1,289.427421
1714.799972,1,291.796977
1814.832336,1,294.10008
1841.491555,1,296.648592
1817.403751,1,298.915952
1780.349108,1,301.513565
1646.338434,1,303.845665
1507.87291,1,306.124336
1626.811584,1,308.201723
1741.81003,1,310.422509
1796.718142,1,312.518376
1790.270337,1,315.125051
1803.974891,1,317.835234
1819.573941,1,320.420388
1784.851343,1,322.361844
1836.975705,1,324.758989
1552.281977,1,327.004266
1802.109747,1,329.035739
1849.240626,1,331.216331
1766.055026,1,334.310337
1689.915526,1,337.21634
1695.795025,1,340.508446
1848.047776,1,342.94586
1691.225975,1,345.841588
1854.220579,1,348.058897
1659.633401,1,350.642846
1849.111669,1,353.139892
1819.195389,1,355.92403
1754.227573,1,359.417662
1811.845202,1,361.562879
1829.250618,1,363.716419
1839.694755,1,366.211052
1835.029213,1,368.634606
1777.00618,1,372.097718
1701.06617,1,374.600753
1803.451773,1,376.729081
1857.048404,1,378.855091
1827.804537,1,381.726803
1834.976007,1,384.771495
1710.79299,1,387.119118
1700.531351,1,389.423002
1832.993659,1,391.602723
1719.431735,1,394.75433
1831.25348,1,397.052379
1786.251079,1,399.619924
1745.83021,1,401.97309
1823.44046,1,404.36835
1810.641598,1,407.451566
1611.090767,1,409.793402
1808.00472,1,412.097498
1722.236088,1,414.97832
1846.378177,1,417.283933
1774.67038,1,419.27755
1847.22217,1,421.428298
1599.535563,1,423.510464
1764.66077,1,426.280544
1850.990265,1,428.913481
1774.642799,1,431.260051
1814.718708,1,433.685908
1776.022811,1,436.001968
1710.355813,1,438.571015
1860.335285,1,440.78074
1846.736988,1,443.273136
1702.021044,1,445.620255
1780.09934,1,447.988748
1525.807619,1,450.500425
1699.960456,1,452.871826
1826.628147,1,455.116244
1715.424998,1,457.42783
1839.167373,1,459.612181
1816.504346,1,461.94846
1633.560664,1,464.074833
1782.272023,1,466.154018
1762.98861,1,468.670522
1677.868042,1,471.391734
1738.21954,1,474.04878
1652.778551,1,476.952608
1727.222316,1,479.579765
1856.809557,1,482.090512
1757.004829,1,484.399664
1786.100345,1,486.514936
1848.933358,1,489.408113
1817.25774,1,491.910336
1816.933294,1,494.231712
1833.783901,1,496.307246
1532.622591,1,498.673995
1825.35702,1,500.768213
1759.519778,1,502.873866
1715.573178,1,505.224854
1807.178093,1,507.343188
1840.519078,1,509.735368
1811.975219,1,511.641106
1769.700841,1,513.887231
1838.334377,1,516.223343
1527.333982,1,518.406301
1836.053461,1,520.712004
1817.135552,1,522.818137
1840.931508,1,524.989421
1790.873509,1,527.172099
1818.19951,1,529.58911
1796.765285,1,531.688994
1827.85645,1,534.175331
1837.051446,1,536.565693
1831.016434,1,538.824647
1839.691542,1,541.310089
1788.424623,1,543.656038
1819.559866,1,545.826117
1823.327209,1,548.209089
1831.317315,1,550.432626
