#{"t_start": 1620860200.432341, "env_id": "octorotor-v0"}
r,l,t
1765.087934,1,5.017474
1800.49055,1,6.271018
1789.460804,1,7.721895
1827.318811,1,9.049238
1744.590675,1,10.350631
1810.134968,1,11.664159
1802.544826,1,12.946811
1738.305694,1,14.270299
1788.235589,1,15.847987
1798.837521,1,17.146375
1801.728473,1,18.433953
1743.307612,1,19.75194
1828.118119,1,20.903988
1846.859745,1,22.210424
1821.374664,1,23.501016
1805.412377,1,24.827714
1788.404921,1,26.132865
1848.515923,1,27.445337
1774.526803,1,28.766771
1772.166392,1,30.119898
1763.587455,1,31.442795
1843.167153,1,32.780335
1794.083252,1,34.11755
1664.365448,1,35.602079
1787.3376,1,37.054461
1802.753229,1,38.367127
1808.478159,1,39.651046
1811.93981,1,40.923245
1828.120271,1,42.203921
1804.708103,1,43.43594
1802.116961,1,44.790163
1629.246711,1,46.088925
1715.910043,1,47.356359
1859.993572,1,48.745363
1813.611481,1,50.121568
1808.345342,1,51.475932
1855.729199,1,52.814024
1784.816047,1,54.171236
1802.118977,1,55.462151
1808.968043,1,56.77706
1784.665101,1,57.989251
1775.57032,1,59.351721
1654.027438,1,60.678422
1724.970153,1,62.009857
1846.498732,1,63.347282
1685.349145,1,64.737416
1827.886375,1,66.052958
1774.79708,1,67.35483
1742.317936,1,68.742852
1845.44103,1,70.159963
1797.777645,1,71.61728
1829.240432,1,73.076627
1834.457241,1,74.517112
1864.813595,1,75.956485
1798.553939,1,77.204531
1836.482452,1,78.625324
1802.218615,1,80.067735
1799.677113,1,81.436579
1846.782859,1,82.876026
1827.046275,1,84.29306
1837.49851,1,85.652217
1793.781063,1,87.231949
1741.441125,1,88.886716
1743.738504,1,90.293266
1814.563212,1,91.86325
1819.574423,1,93.38749
1742.182762,1,94.935574
1851.850114,1,96.502599
1731.957079,1,98.03326
1770.890959,1,99.437729
1776.931347,1,101.215383
1782.483527,1,103.403379
1784.599767,1,105.578114
1818.478454,1,107.374501
1769.140537,1,109.10141
1836.682859,1,110.906827
1689.745957,1,112.682483
1801.106911,1,114.352637
1842.811386,1,116.183136
1850.034448,1,117.887143
1812.026602,1,119.299518
1638.146309,1,120.956539
1741.509801,1,122.67876
1796.096841,1,124.464097
1663.559736,1,126.060262
1801.339021,1,127.670147
1815.665639,1,129.255069
1608.442998,1,130.826888
1771.412432,1,132.548517
1754.218332,1,134.394901
1643.016755,1,136.039122
1774.71947,1,137.690264
1811.540378,1,139.207263
1791.922938,1,140.800652
1836.170941,1,142.420265
1752.926177,1,144.058474
1861.361683,1,145.629051
1800.169151,1,147.236231
1815.870162,1,148.926351
1645.080782,1,150.794749
1820.622894,1,152.5683
1820.622894,1,154.415636
1820.144616,1,156.208998
1820.144616,1,157.824199
1814.319811,1,159.438592
1814.319811,1,161.017643
1822.834226,1,162.637445
1822.834226,1,164.367336
1819.973039,1,166.064752
1819.973039,1,167.779703
1821.674002,1,169.453692
1821.674002,1,171.1083
1825.482186,1,172.822748
1825.482186,1,174.506424
1827.927441,1,176.268037
1827.927441,1,177.883136
1840.126342,1,179.497005
1840.126342,1,181.146794
1834.76709,1,182.814383
1834.76709,1,184.460242
1833.003693,1,186.089153
1833.003693,1,187.702848
1829.319708,1,189.315753
1829.319708,1,190.920569
1831.465559,1,192.578441
1831.465559,1,194.216397
1835.960603,1,195.860886
1835.960603,1,197.54627
1833.747813,1,199.157528
1833.747813,1,200.78335
1826.342274,1,202.419748
1826.342274,1,204.075876
1836.089326,1,205.696717
1836.089326,1,207.336969
1832.60241,1,208.984506
1832.60241,1,210.617494
1833.39519,1,212.277042
1833.39519,1,213.915967
1829.419495,1,215.57064
1829.419495,1,217.283531
1840.193146,1,219.067843
1840.193146,1,220.841747
1829.408501,1,222.665958
1829.408501,1,224.43601
1829.141625,1,226.267744
1829.141625,1,228.049684
1830.095164,1,229.850758
1830.095164,1,231.599886
1812.407817,1,233.26983
1812.407817,1,234.963146
1829.892529,1,236.61599
1829.892529,1,238.322826
1829.740473,1,239.961946
1829.740473,1,241.616499
1834.580963,1,243.301396
1834.580963,1,244.928514
1829.618044,1,246.574887
1829.618044,1,248.294617
1832.645098,1,249.997349
1832.645098,1,251.637991
1823.811722,1,253.344575
1823.811722,1,254.980991
1827.425339,1,256.580338
1827.425339,1,258.230192
1831.30524,1,259.856543
1831.30524,1,261.455093
1834.274364,1,263.086571
1834.274364,1,264.741759
1842.125397,1,266.385709
1842.125397,1,268.033476
1826.199335,1,269.775108
1826.199335,1,271.399762
1830.849609,1,273.038918
1830.849609,1,274.620416
1836.394319,1,276.286302
1836.394319,1,277.865456
1831.247039,1,279.454315
1831.247039,1,281.024221
1818.741951,1,282.604974
1818.741951,1,284.164536
1817.989754,1,285.741378
1817.989754,1,287.382434
1836.150439,1,289.02866
1836.150439,1,290.774355
1814.136235,1,292.452785
1814.136235,1,294.068918
1839.221588,1,295.70011
1839.221588,1,297.297406
1843.330356,1,298.908384
1843.330356,1,300.489479
1841.844857,1,302.061007
1841.844857,1,303.643863
1830.203341,1,305.2312
1830.203341,1,306.843229
1837.97022,1,308.465278
1837.97022,1,310.053008
1805.699383,1,311.635138
1805.699383,1,313.318482
1821.025986,1,315.034186
1821.025986,1,316.708835
1835.189038,1,318.374505
1835.189038,1,320.027411
1826.823691,1,322.072046
1826.823691,1,323.712245
1838.545918,1,325.378853
1838.545918,1,327.085393
1833.114766,1,329.146803
1833.114766,1,330.800901
1832.94977,1,332.507037
1832.94977,1,334.206234
1832.94977,1,336.305339
1832.94977,1,337.972854
1841.752889,1,339.680047
1841.752889,1,341.337844
1841.752889,1,343.028309
1841.752889,1,344.702469
1841.752889,1,346.381093
1841.752889,1,348.171708
1841.752889,1,349.850227
1841.752889,1,351.522724
1841.752889,1,353.202686
1841.752889,1,354.928852
1834.658129,1,356.563553
1834.658129,1,358.184215
1831.405461,1,359.956163
1831.405461,1,361.589637
1820.296556,1,363.236419
1820.296556,1,364.880521
1820.218053,1,366.592452
1820.218053,1,368.222609
1823.522283,1,369.860707
1823.522283,1,371.507683
1820.52051,1,373.328526
1820.52051,1,375.153199
1819.170358,1,377.022496
1819.170358,1,379.104831
1820.257472,1,380.946516
1820.257472,1,382.866125
1820.324457,1,384.715054
1820.324457,1,386.68949
1820.324457,1,388.427476
1820.324457,1,390.232297
1820.066315,1,392.04342
1820.066315,1,393.868932
1834.224494,1,395.66671
1834.224494,1,397.453439
1833.023267,1,399.191561
1833.023267,1,400.997793
1814.033997,1,402.739327
1814.033997,1,404.488601
1818.372139,1,406.240209
1818.372139,1,408.066961
1831.021166,1,409.883326
1831.021166,1,411.647711
1831.206184,1,413.41617
1831.206184,1,415.570372
1830.972378,1,417.391591
1830.972378,1,419.162243
1834.249486,1,420.922887
1834.249486,1,422.706655
1839.18598,1,424.475839
1839.18598,1,426.23516
1833.024069,1,428.004687
1833.024069,1,429.825305
1837.409811,1,431.674174
1837.409811,1,433.448441
1838.153202,1,435.227066
1838.153202,1,437.831732
1838.153202,1,439.558997
1838.153202,1,441.256672
1838.466629,1,442.923967
1838.466629,1,444.811149
1837.872273,1,446.504546
1837.872273,1,448.170671
1837.872273,1,449.843871
1837.872273,1,451.643321
1841.195452,1,453.421517
1841.195452,1,455.095347
1835.550012,1,456.821659
1835.550012,1,458.567823
1834.973818,1,460.386645
1834.973818,1,462.068353
1834.973818,1,463.758929
1834.973818,1,465.639506
1834.973818,1,467.526537
1834.973818,1,469.325299
1835.856858,1,471.056571
1835.856858,1,473.156264
1835.856858,1,474.871734
1835.856858,1,476.584864
1835.856858,1,478.302734
1835.856858,1,480.362833
1835.856858,1,482.240196
1835.856858,1,484.068881
1814.438257,1,485.808247
1814.438257,1,487.857437
1814.438257,1,489.588606
1814.438257,1,491.335512
1832.739879,1,493.092589
1832.739879,1,495.124277
1832.739879,1,496.884843
1832.739879,1,498.65268
1832.739879,1,500.497075
1832.739879,1,502.435098
1832.739879,1,504.172445
1832.739879,1,505.927361
1832.739879,1,507.868819
1832.739879,1,509.686182
1815.6722,1,511.480354
1815.6722,1,513.271106
1815.6722,1,515.199913
1815.6722,1,516.912911
1815.6722,1,518.712017
1815.6722,1,520.507577
1815.6722,1,522.43169
1815.6722,1,524.181964
1815.6722,1,525.959651
1815.6722,1,527.752437
1827.844531,1,529.735048
1827.844531,1,531.558765
1827.844531,1,533.393658
1827.844531,1,535.225083
1831.140878,1,537.170833
1831.140878,1,539.241065
1831.140878,1,541.161233
1831.140878,1,543.492688
1831.140878,1,545.699169
1831.140878,1,548.008917
1831.140878,1,550.35419
1831.140878,1,552.222613
1831.140878,1,554.427111
1831.140878,1,556.632611
1831.140878,1,558.813013
