#{"t_start": 1620869609.8779376, "env_id": "octorotor-v0"}
r,l,t
1743.487888,1,6.613437
1803.599871,1,8.453043
1835.630508,1,10.284721
1813.967807,1,11.885499
1837.120757,1,13.613141
1808.224833,1,15.31545
1792.719703,1,16.948027
1664.807827,1,18.751642
1851.087059,1,20.516724
1804.154161,1,22.201184
1861.880148,1,23.957528
1838.037395,1,25.669797
186.382263,1,25.991032
1720.129838,1,27.935114
1579.646967,1,29.824668
1718.239965,1,31.744905
1778.421404,1,33.590758
1829.480268,1,35.387473
1830.096402,1,37.288385
1799.172378,1,39.167891
1811.932455,1,40.93646
1731.899179,1,42.763161
201.280926,1,43.122439
1645.377005,1,45.1168
1769.386145,1,46.978641
1746.567953,1,48.754653
1805.032022,1,50.713947
1649.698326,1,52.752605
1807.076404,1,54.847996
1824.148323,1,56.996842
1744.670429,1,58.955299
1697.245979,1,60.99127
1831.667314,1,63.137583
1816.694308,1,65.315171
1826.04057,1,67.379145
1798.268704,1,69.572495
1843.19399,1,71.904844
1775.427298,1,74.305984
1836.421352,1,76.425275
1801.47404,1,78.566381
1634.65221,1,80.723779
1810.888109,1,82.7184
1829.969713,1,84.895605
1484.8922,1,87.083833
1705.715066,1,89.484416
1691.630132,1,91.781406
1790.306974,1,94.214658
1795.174442,1,96.394905
1825.960099,1,98.676905
1804.190357,1,100.834686
1816.147695,1,103.268049
1766.691351,1,105.342302
1836.851023,1,107.735039
1731.833603,1,110.40439
1777.2562,1,112.746039
1775.808983,1,114.993415
1788.111561,1,117.655031
1814.704454,1,119.856485
1665.888233,1,122.394091
1792.707492,1,124.744848
1836.015405,1,127.17851
1809.843148,1,129.620285
1773.012889,1,131.807948
1800.827382,1,133.969203
1721.589134,1,136.279178
1760.928358,1,138.560703
1844.453888,1,141.394203
154.018449,1,141.772352
1830.389425,1,144.104841
1792.46363,1,146.366399
1616.81065,1,148.703171
1737.418269,1,150.886384
1701.929466,1,153.100833
1774.693869,1,155.351129
1677.765126,1,157.673704
1742.305016,1,159.874676
1768.933301,1,162.504514
1792.413177,1,164.73383
1803.001235,1,167.518769
1629.208637,1,169.648512
1823.416489,1,171.831815
1628.771665,1,174.505013
1778.906772,1,176.761597
1797.225349,1,179.006432
1750.297649,1,181.999422
1600.070793,1,185.334466
1826.416595,1,188.571016
1810.457866,1,191.135639
1822.393885,1,194.290796
1775.126519,1,197.167752
1779.041819,1,199.352791
1780.435248,1,201.707579
1819.108445,1,204.089274
1809.734201,1,207.189612
1531.509499,1,209.898998
1777.70973,1,212.41113
1830.996887,1,214.964608
1723.488231,1,217.479676
1819.762385,1,219.572824
1796.770508,1,221.652146
1656.576594,1,224.224214
1656.576594,1,227.123229
1656.576594,1,230.506771
1656.576594,1,232.50693
1656.576594,1,234.6162
1452.507317,1,237.136297
1452.507317,1,239.423378
1656.576594,1,241.777675
1452.507317,1,244.203983
1656.576594,1,246.337488
1452.507317,1,248.572471
1452.507317,1,251.420727
1656.576594,1,253.679358
1452.507317,1,255.966462
1452.507317,1,258.034263
1656.576594,1,260.256467
1452.507317,1,262.828577
1656.576594,1,265.075674
1452.507317,1,267.709229
1656.576594,1,270.536546
1656.576594,1,272.44779
1452.507317,1,274.480477
1452.507317,1,277.750654
1656.576594,1,279.788538
1656.576594,1,282.216846
1656.576594,1,285.325036
1452.507317,1,287.839592
1656.576594,1,290.200089
1656.576594,1,292.648548
1453.277282,1,295.528441
1453.277282,1,298.578845
1656.576594,1,301.048455
1453.277282,1,304.174671
1453.277282,1,306.604244
1656.576594,1,308.940508
1656.576594,1,311.246289
1453.277282,1,313.686433
1656.576594,1,316.141032
1453.277282,1,318.564434
1656.576594,1,321.103067
1656.576594,1,323.628804
1453.277282,1,326.351976
1453.277282,1,328.786034
1656.576594,1,331.69765
1656.576594,1,334.014732
1453.277282,1,336.382175
1656.576594,1,338.798335
1453.277282,1,341.278988
1453.277282,1,343.808703
1453.277282,1,346.164644
1453.277282,1,349.100121
1656.576594,1,351.40958
1656.576594,1,353.692147
1474.390139,1,356.111785
1474.390139,1,358.360508
1474.390139,1,360.822219
1474.390139,1,363.174761
1656.576594,1,365.559792
1656.576594,1,368.484538
1656.576594,1,370.748843
1480.344118,1,373.018224
1656.576594,1,375.390835
1656.576594,1,377.841374
1480.344118,1,380.040802
1656.576594,1,382.249217
1480.344118,1,384.569186
1480.344118,1,386.966683
1656.576594,1,389.34321
1480.344118,1,392.653278
1656.576594,1,395.603629
1656.576594,1,397.95676
1476.610674,1,400.441822
1656.576594,1,402.622676
1656.576594,1,404.739006
1478.863715,1,407.216451
1478.863715,1,409.319163
1656.576594,1,411.460588
1478.863715,1,413.559684
1656.576594,1,416.114769
1475.075505,1,418.256213
1475.075505,1,420.349466
1656.576594,1,422.584921
1475.075505,1,424.896344
1656.576594,1,427.161648
1656.576594,1,429.239954
1656.576594,1,431.701885
1656.576594,1,434.375261
1475.075505,1,436.920386
1656.576594,1,439.26037
1475.075505,1,441.996849
1475.075505,1,444.621149
1475.075505,1,447.258544
1656.576594,1,449.965328
1656.576594,1,452.063183
1656.576594,1,454.141375
1479.375508,1,456.402961
1656.576594,1,458.648355
1656.576594,1,461.170686
1479.375508,1,463.342941
1656.576594,1,465.569544
1479.375508,1,467.779359
1656.576594,1,469.965988
1479.375508,1,472.109119
1656.576594,1,474.309407
1479.375508,1,476.792729
1656.576594,1,478.917598
1479.375508,1,481.169805
1656.576594,1,483.296902
1656.576594,1,485.460025
1479.375508,1,487.597858
1656.576594,1,489.887525
1656.576594,1,491.852517
1656.576594,1,494.060138
1479.375508,1,496.212084
1656.576594,1,498.181928
1479.375508,1,500.153241
1479.375508,1,502.144056
1479.375508,1,504.024932
1656.576594,1,505.799064
1656.576594,1,507.485549
1479.375508,1,509.231943
1479.375508,1,511.169925
1479.375508,1,513.027438
1656.576594,1,514.795689
1656.576594,1,517.498761
1656.576594,1,519.267217
1656.576594,1,521.063485
1471.926643,1,523.455663
1471.926643,1,525.91028
1471.926643,1,528.168166
1656.576594,1,530.582402
1656.576594,1,532.837506
1656.576594,1,534.642521
1471.926643,1,536.582192
1656.576594,1,538.95212
1471.926643,1,541.240979
1656.576594,1,543.62594
1656.576594,1,545.944542
1656.576594,1,548.337294
1656.576594,1,550.372965
1471.926643,1,552.754118
1656.576594,1,554.869671
1656.576594,1,556.748618
1471.926643,1,558.754831
1656.576594,1,560.835695
1471.926643,1,562.916086
1471.926643,1,564.8921
1461.200244,1,567.195576
1656.576594,1,569.38038
1656.576594,1,571.267481
1461.200244,1,573.036468
1656.576594,1,574.845927
1461.200244,1,577.460688
1656.576594,1,580.260091
1656.576594,1,582.749706
1461.200244,1,585.112088
1656.576594,1,587.824079
1461.200244,1,589.873621
1656.576594,1,591.809372
1656.576594,1,593.804102
1656.576594,1,595.845525
1656.576594,1,597.89044
1461.200244,1,599.920091
1656.576594,1,602.203501
1461.200244,1,604.166322
1656.576594,1,606.193291
1461.200244,1,608.12802
1656.576594,1,609.952845
1656.576594,1,611.937644
1656.576594,1,613.893343
1461.200244,1,615.892416
1656.576594,1,617.782661
1465.279538,1,619.725257
1656.576594,1,621.813554
1462.590084,1,623.899824
1656.576594,1,625.82046
1656.576594,1,627.797716
1479.977656,1,629.94828
1656.576594,1,632.005191
1656.576594,1,634.12149
1656.576594,1,636.273187
1479.977656,1,638.408518
1479.977656,1,640.476754
1479.977656,1,642.623344
1479.977656,1,644.916803
1656.576594,1,646.80236
1656.576594,1,648.709601
1479.977656,1,650.860306
1479.977656,1,652.789615
1656.576594,1,654.648395
1656.576594,1,656.565251
1656.576594,1,658.615638
1479.977656,1,660.675305
1656.576594,1,662.725873
1656.576594,1,664.595472
1656.576594,1,666.549881
1479.977656,1,668.67926
1479.977656,1,670.749056
1479.977656,1,673.032142
1656.576594,1,674.834866
1479.977656,1,676.731195
1656.576594,1,678.84702
1479.977656,1,681.014359
1656.576594,1,683.053622
1479.977656,1,685.078955
1479.977656,1,687.186178
1479.977656,1,689.214455
1656.576594,1,691.250942
1479.977656,1,693.461534
1479.977656,1,695.551906
1479.977656,1,697.588637
1479.977656,1,699.910599
1656.576594,1,702.123764
1656.576594,1,704.324314
1656.576594,1,706.805891
1479.977656,1,709.049338
1656.576594,1,711.373995
1656.576594,1,713.606074
1479.977656,1,715.69951
1479.977656,1,717.94846
1656.576594,1,719.870001
1656.576594,1,721.942149
1656.576594,1,724.140839
1656.576594,1,726.259759
1656.576594,1,728.721003
1479.977656,1,730.863324
1656.576594,1,732.735662
1479.977656,1,735.0787
1656.576594,1,737.867815
1656.576594,1,740.241627
1656.576594,1,742.645522
1656.576594,1,744.946823
1479.977656,1,747.336649
1656.576594,1,750.246066
1656.576594,1,752.847142
1656.576594,1,755.333502
1479.977656,1,757.83664
1479.977656,1,760.329185
1656.576594,1,762.989098
1656.576594,1,764.986806
1656.576594,1,767.440947
1479.977656,1,769.848739
1479.977656,1,772.161697
1479.977656,1,774.079881
1656.576594,1,776.228349
1479.977656,1,778.232388
1656.576594,1,780.217855
1656.576594,1,782.195
1656.576594,1,784.182265
1479.977656,1,786.249791
1656.576594,1,788.542411
1479.977656,1,790.884826
1479.977656,1,793.138583
1656.576594,1,795.475259
1479.977656,1,797.846248
1479.977656,1,800.492323
1479.977656,1,802.732982
1656.576594,1,805.032677
1479.977656,1,807.383243
1479.977656,1,810.100367
1479.977656,1,812.5631
1479.977656,1,814.661194
1479.977656,1,816.869601
1656.576594,1,819.188002
1479.977656,1,821.226574
1656.576594,1,823.434078
1479.977656,1,825.758277
1479.977656,1,827.87007
1479.977656,1,830.468249
1656.576594,1,832.817426
1656.576594,1,835.755388
1656.576594,1,837.656587
1656.576594,1,839.967558
1479.977656,1,842.207056
1479.977656,1,844.383166
1656.576594,1,846.505681
1656.576594,1,848.661175
1479.977656,1,850.665551
1656.576594,1,852.563781
1479.977656,1,854.685827
1656.576594,1,856.759568
1656.576594,1,858.718745
1479.977656,1,861.109289
1656.576594,1,863.355228
1479.977656,1,865.805468
1479.977656,1,868.543305
1479.977656,1,871.216058
1656.576594,1,873.540878
1479.977656,1,875.807363
1656.576594,1,878.354319
1656.576594,1,880.576159
1656.576594,1,883.849898
1479.977656,1,886.691857
1479.977656,1,889.247293
1656.576594,1,891.145679
1479.977656,1,893.274102
1656.576594,1,895.58618
1656.576594,1,898.367003
1656.576594,1,900.412445
1457.806719,1,902.523948
1457.806719,1,905.960522
1457.806719,1,908.15571
1656.576594,1,909.910481
1656.576594,1,911.722428
1656.576594,1,914.19155
1457.806719,1,916.430815
1656.576594,1,918.845758
1656.576594,1,920.998997
1656.576594,1,923.538312
1656.576594,1,925.638969
1457.806719,1,927.607173
1656.576594,1,929.640578
1457.806719,1,931.654984
1457.806719,1,934.087997
1457.806719,1,936.399043
1656.576594,1,938.507351
1656.576594,1,940.855617
1457.806719,1,944.431325
1457.806719,1,947.207621
1457.806719,1,949.621557
1656.576594,1,951.98175
1656.576594,1,954.523594
1656.576594,1,957.272122
1656.576594,1,960.54556
1656.576594,1,962.967928
1656.576594,1,964.984474
1474.541958,1,966.843398
1656.576594,1,968.814368
1474.541958,1,970.984177
1656.576594,1,973.596208
1656.576594,1,975.962956
1474.541958,1,978.122859
1656.576594,1,980.214454
1474.541958,1,982.63554
1474.541958,1,984.647707
1474.541958,1,986.665055
1474.541958,1,989.059055
1474.541958,1,991.387764
1656.576594,1,993.515833
1656.576594,1,995.697271
1474.541958,1,997.516293
1474.846356,1,999.286966
1656.576594,1,1001.645694
1474.846356,1,1003.977118
1474.846356,1,1005.943124
1474.846356,1,1008.042276
1656.576594,1,1010.456549
1656.576594,1,1013.26259
1656.576594,1,1015.881963
1656.576594,1,1018.454565
1474.846356,1,1021.168322
1656.576594,1,1024.103987
1474.846356,1,1026.845205
1656.576594,1,1029.373466
1474.846356,1,1031.685843
1474.846356,1,1033.630103
1656.576594,1,1036.100302
1454.555509,1,1038.476544
1454.555509,1,1040.542026
1656.576594,1,1042.845094
1454.555509,1,1044.652266
1454.555509,1,1046.526859
1656.576594,1,1048.278329
1454.555509,1,1050.118947
1656.576594,1,1052.019491
1656.576594,1,1053.762151
1454.555509,1,1055.599502
1656.576594,1,1057.415257
1454.555509,1,1059.227843
1454.555509,1,1061.045416
1656.576594,1,1062.913222
1454.555509,1,1064.637111
1454.555509,1,1066.532956
1454.555509,1,1068.352427
1454.555509,1,1070.135451
1454.555509,1,1072.045931
1454.555509,1,1073.960801
1656.576594,1,1075.782442
1656.576594,1,1077.574041
1656.576594,1,1079.352494
1454.555509,1,1081.184092
1656.576594,1,1083.116422
1454.555509,1,1084.980476
1454.555509,1,1086.983267
1454.555509,1,1088.865256
1656.576594,1,1090.782053
1656.576594,1,1092.700336
1656.576594,1,1094.4606
1656.576594,1,1096.542479
1454.555509,1,1098.365197
1454.555509,1,1100.135337
1656.576594,1,1102.2252
1656.576594,1,1103.87727
1454.555509,1,1105.635587
1454.555509,1,1107.455369
1454.555509,1,1109.120272
1656.576594,1,1110.77425
1454.555509,1,1112.563076
1656.576594,1,1114.624906
1656.576594,1,1116.580889
1656.576594,1,1118.427086
1656.576594,1,1120.371134
1454.555509,1,1122.236794
1454.555509,1,1124.276418
1454.555509,1,1126.162321
1454.555509,1,1128.245471
1656.576594,1,1130.139344
1454.555509,1,1132.136576
1656.576594,1,1134.164114
1656.576594,1,1135.981444
1656.576594,1,1137.875181
1656.576594,1,1139.908859
1656.576594,1,1141.810866
1656.576594,1,1143.731883
1656.576594,1,1146.046425
1467.067461,1,1148.143065
1467.067461,1,1150.064378
1467.067461,1,1151.9849
1656.576594,1,1153.780513
1467.067461,1,1155.843556
1656.576594,1,1157.641389
1656.576594,1,1159.359014
1656.576594,1,1161.055988
1467.067461,1,1162.966742
1656.576594,1,1164.826112
1467.067461,1,1167.095484
1467.067461,1,1168.876227
1656.576594,1,1170.803907
1656.576594,1,1172.810961
1656.576594,1,1174.682045
1656.576594,1,1176.477846
1656.576594,1,1178.474472
1656.576594,1,1180.157447
1656.576594,1,1183.136899
1656.576594,1,1185.210634
1467.067461,1,1187.410987
1656.576594,1,1189.426112
1656.576594,1,1191.571794
1656.576594,1,1193.597483
1467.067461,1,1195.594193
1467.067461,1,1197.810367
