#{"t_start": 1620699104.8349183, "env_id": "octorotor-v0"}
r,l,t
1814.463731,1,4.608394
1518.339865,1,5.803983
1813.605197,1,6.996114
1625.64665,1,8.17407
1816.305434,1,9.394931
1517.551482,1,10.614374
1827.088541,1,11.896364
1848.664788,1,13.213391
1695.615465,1,14.690779
1695.943806,1,15.859197
1822.23648,1,16.929365
1613.505864,1,18.079929
1824.963506,1,19.263598
1341.11862,1,20.306011
1847.520966,1,21.47493
1662.299144,1,22.713523
1604.04798,1,23.920299
1702.388274,1,25.110098
1813.605197,1,26.300994
1464.707985,1,27.463246
1816.708115,1,28.579468
1547.134762,1,29.630812
1565.829533,1,30.772274
1482.106798,1,31.822435
1821.630994,1,33.030049
1769.724073,1,34.259199
1809.507794,1,35.309104
1461.534502,1,36.446079
1827.148927,1,37.623305
1518.339865,1,38.723627
1823.98472,1,40.029245
1759.477556,1,41.217865
1716.28585,1,42.811278
1841.074545,1,43.966117
1827.306184,1,45.126725
1777.395683,1,46.223726
1686.984067,1,47.392722
1806.512016,1,48.420485
1710.55018,1,49.563304
1483.238117,1,50.646359
1824.119613,1,51.901442
1619.450603,1,53.098778
1597.669921,1,54.167085
1820.844351,1,55.355931
1615.459727,1,56.543032
1802.575985,1,57.682025
1806.469406,1,58.851076
1826.083395,1,60.116204
1827.306184,1,61.304261
1806.541614,1,62.81479
1673.049485,1,64.154151
1826.617017,1,65.181814
1846.404796,1,66.250903
1813.605197,1,67.448518
1823.929542,1,68.64176
1412.51549,1,69.705793
1842.471319,1,70.844259
1837.632387,1,72.030951
1672.157636,1,73.447806
1847.100732,1,74.737229
1571.571869,1,75.893267
1756.650264,1,77.044222
1475.961453,1,78.210025
1842.048109,1,79.271108
1806.469406,1,80.437965
1657.244038,1,81.721545
1839.012584,1,82.824507
1493.642243,1,84.049669
1534.857266,1,85.526091
1827.306184,1,86.683502
1573.790788,1,87.802327
1472.751602,1,88.957089
1813.605197,1,90.153318
1557.463175,1,91.215168
1847.826913,1,92.436444
1817.897144,1,93.701872
1826.416691,1,94.820313
1498.884729,1,96.301237
1786.046907,1,97.454391
1801.152564,1,98.614711
1516.827043,1,99.804705
1724.489732,1,101.002213
1829.864757,1,102.19649
1624.239309,1,103.40945
1827.306184,1,104.625978
1518.401643,1,105.874317
1631.885829,1,107.338241
1813.605197,1,108.54017
1847.974435,1,109.611054
1639.767008,1,110.779388
1522.134371,1,111.992498
1813.605197,1,113.206041
1839.312411,1,114.437209
1846.024666,1,115.61676
1768.959057,1,116.861428
1546.560273,1,118.013001
1824.838482,1,119.536443
1831.852057,1,120.717586
1821.630994,1,121.907726
1783.491829,1,123.112797
1848.235406,1,124.255387
1834.141948,1,125.453848
1842.548296,1,126.54253
1817.601469,1,127.793767
1787.919029,1,129.027004
1821.630994,1,130.367311
1826.586118,1,132.034491
1696.591723,1,133.276686
1813.605197,1,134.500944
1622.525847,1,135.664492
1846.568695,1,136.919822
1814.138518,1,138.111924
1822.184782,1,139.346755
1586.0007,1,140.44631
1825.612382,1,141.684661
1379.247912,1,142.976775
1493.095733,1,144.150659
1341.11862,1,145.2218
1752.538218,1,146.418327
1816.013059,1,147.609527
1486.48902,1,148.734853
1815.6342,1,149.825052
1832.2463,1,151.068526
1815.53471,1,152.320339
1640.677302,1,153.586567
1842.570587,1,155.018981
1808.477786,1,156.077755
1786.29502,1,157.150803
1817.937804,1,158.350493
1813.605197,1,159.56768
1849.683612,1,160.805934
1813.605197,1,162.052442
1848.58616,1,163.25806
1813.605197,1,164.511582
1848.291614,1,165.864721
1841.564927,1,167.259896
1779.250542,1,168.352742
1625.483666,1,169.56012
1826.246835,1,170.784431
1833.01846,1,171.999245
1719.416318,1,173.264445
1847.667011,1,174.429967
1584.20901,1,175.651371
1824.270058,1,176.898032
1772.559542,1,178.256386
1540.44551,1,179.451431
1840.904417,1,180.539934
1491.240194,1,181.714454
1846.044031,1,182.834452
1825.352263,1,184.039574
1615.036228,1,185.286592
1781.579093,1,186.501681
1769.533403,1,187.744949
1850.174884,1,188.877245
1366.920707,1,190.097649
1621.582243,1,191.351949
1829.113138,1,192.449796
1807.658297,1,193.642856
1849.581358,1,194.828046
1814.345434,1,195.936617
1839.927059,1,197.104647
1823.178724,1,198.360047
1682.728269,1,199.58188
1815.564385,1,200.836608
1493.095733,1,202.126236
1723.861541,1,203.692414
1491.240194,1,204.860271
1763.432433,1,206.063809
1557.155269,1,207.234749
1827.306184,1,208.442363
1848.11247,1,209.712061
1845.490423,1,210.828217
1524.772584,1,211.985796
1504.424328,1,213.119799
1823.025198,1,214.384198
1816.554248,1,215.813074
1813.605197,1,217.036079
1493.095733,1,218.223451
1825.76685,1,219.459554
1813.605197,1,220.688581
1797.968607,1,221.941549
1814.862639,1,223.186628
1802.319205,1,224.322239
1644.410955,1,225.591513
1798.835101,1,227.075197
1689.395725,1,228.644123
1762.090553,1,230.142998
1846.260464,1,231.336185
1813.605197,1,232.563994
1796.416358,1,233.762283
1763.609764,1,234.995385
1806.512016,1,236.060694
1583.486547,1,237.250485
1504.643829,1,238.457278
1837.366365,1,239.581689
1825.205457,1,240.87587
1502.850293,1,242.070872
1768.921586,1,243.635103
1827.306184,1,244.959499
1830.490339,1,246.210635
1849.202219,1,247.494793
1766.276842,1,248.746228
1498.378992,1,249.899684
1843.170907,1,251.162162
1338.718678,1,252.247853
1830.404118,1,253.533424
1846.404796,1,254.946431
1771.396401,1,256.302876
1822.692239,1,257.426894
1815.992469,1,258.626987
1771.309852,1,259.865519
1638.635238,1,261.075355
1816.160975,1,262.171238
1848.238302,1,263.423205
1810.123785,1,264.559178
1809.826212,1,265.825513
1853.68035,1,267.471596
1828.875874,1,268.874004
1493.095733,1,270.408029
1518.339865,1,271.587874
1800.578822,1,272.734997
1825.12814,1,273.95495
1850.230285,1,275.104703
1778.525267,1,276.192045
1730.735064,1,277.411267
1808.342394,1,278.702613
1836.146987,1,279.837386
1816.713153,1,281.092512
1751.564459,1,282.354591
1841.536445,1,283.542278
1813.605197,1,284.800918
1827.306184,1,286.003162
1844.889062,1,287.109311
1507.481679,1,288.27677
1768.620996,1,289.491173
1827.306184,1,290.736143
1784.501889,1,291.962002
1820.224919,1,293.12236
1691.677968,1,294.385592
1816.532891,1,296.080255
1821.630994,1,297.4105
1730.553566,1,298.837448
1822.28354,1,300.066579
