#{"t_start": 1620707854.059021, "env_id": "octorotor-v0"}
r,l,t
1726.277114,1,4.833312
1720.122923,1,6.116768
1708.291904,1,7.36675
1826.85949,1,8.646369
1851.837734,1,9.92877
1842.034188,1,11.280273
1729.325633,1,12.536898
1816.493522,1,13.830925
1816.493522,1,15.127077
1828.036983,1,16.434346
1849.336498,1,17.760068
1853.108092,1,19.695745
1849.88981,1,21.207621
1851.689965,1,22.530782
1716.915881,1,23.810242
1736.932814,1,25.128821
1738.896472,1,26.996585
1716.915881,1,28.557621
1831.413301,1,29.938523
1721.053572,1,31.238035
1815.686601,1,32.654664
1733.156893,1,34.206762
1729.719366,1,35.548873
1855.869802,1,36.930758
1834.941636,1,38.34783
1839.251364,1,39.691349
1829.076746,1,40.99319
1738.484457,1,42.345713
1710.090431,1,43.776589
1723.30905,1,45.029331
1841.6486,1,46.34677
1727.846011,1,47.616088
1733.232262,1,48.873603
1816.493522,1,50.156108
1716.504937,1,51.308156
1729.693272,1,52.641014
1850.124652,1,53.957572
1833.098355,1,55.268271
1704.946785,1,56.616691
1840.037493,1,58.126927
1705.955883,1,59.501771
1848.359256,1,61.668119
1724.228041,1,63.13713
1833.093021,1,64.515329
1816.493522,1,66.131491
1726.628396,1,67.599376
1497.891897,1,69.18733
1717.159933,1,70.443532
1702.319088,1,71.689796
1723.576192,1,72.925134
1840.586231,1,74.848819
1708.228285,1,76.49191
1705.880205,1,77.889899
1729.023236,1,79.179213
1724.573679,1,80.433767
1819.864522,1,81.764807
1836.731568,1,83.080381
1719.469575,1,84.361845
1730.532838,1,85.678057
1734.034694,1,86.985568
1836.065953,1,88.511168
1731.565641,1,89.954412
1854.98516,1,91.25344
1708.959507,1,92.499969
1721.483614,1,93.749896
1816.493522,1,95.072805
1707.679936,1,96.262622
1695.783286,1,97.814115
1703.859859,1,99.502034
1855.469544,1,101.304325
1737.125082,1,102.666401
1835.98858,1,104.018819
1692.141403,1,105.203177
1816.493522,1,106.487867
1856.789598,1,107.827523
1711.132524,1,109.118327
1849.769583,1,110.422971
1839.579958,1,111.729311
1852.92538,1,112.958615
1708.767284,1,114.24678
1853.917753,1,115.63179
1716.915881,1,117.400979
1724.417801,1,118.771337
1824.404224,1,120.332744
1731.5859,1,121.632427
1722.263577,1,122.997078
1767.884765,1,124.338739
1698.167869,1,125.602891
1836.944422,1,126.924747
1815.099289,1,128.203885
1731.030937,1,129.655074
1716.05081,1,131.226556
1784.266623,1,132.418509
1719.812363,1,133.589571
1822.270169,1,134.889579
1825.901569,1,136.22453
1835.977983,1,137.517004
1731.38799,1,138.765646
1736.207982,1,140.02189
1837.08041,1,141.322603
1734.839793,1,142.889916
1716.915881,1,144.431584
1840.492169,1,145.917902
1711.216975,1,147.28105
1716.915881,1,148.56378
1718.058288,1,149.841444
1841.007659,1,151.002986
1844.95499,1,152.283761
1816.493522,1,153.575728
1843.27335,1,154.874429
1835.067982,1,156.197989
1816.493522,1,157.610535
1818.343987,1,159.298843
1816.493522,1,160.622584
1834.168211,1,162.163335
1721.710153,1,163.62396
1833.477208,1,164.915212
1726.981372,1,166.155103
1819.550497,1,167.450044
1852.373207,1,168.757906
1716.915881,1,170.067284
1849.618353,1,171.405934
1726.482382,1,172.76203
1852.441362,1,174.040325
1704.902527,1,175.262126
1716.915881,1,176.547082
1728.438166,1,177.69233
1722.461487,1,178.848903
1841.275245,1,180.102007
1733.755667,1,181.313107
1816.493522,1,182.599986
1836.597807,1,183.72554
1717.227586,1,184.867939
1823.19139,1,186.115317
1849.304856,1,187.267527
1727.644525,1,188.505338
1736.968512,1,189.771524
1710.32087,1,191.03757
1834.844282,1,192.34798
1687.611257,1,193.89993
1843.0173,1,195.211778
1709.283976,1,196.415757
1843.452132,1,197.66325
1696.255762,1,198.873864
1711.02055,1,200.084976
1846.411745,1,201.251083
1718.115725,1,202.540078
1743.133398,1,203.838884
1734.658637,1,205.4514
1710.666014,1,206.692348
1714.803299,1,207.940799
1716.915881,1,209.18544
1734.470314,1,210.43038
1832.601075,1,211.686015
1835.502583,1,212.975279
1816.493522,1,214.277527
1728.875339,1,215.554945
1852.913016,1,217.029395
1836.0103,1,218.299629
1724.281444,1,219.447676
1136.996253,1,220.312689
1734.273283,1,221.596931
1733.926644,1,222.834456
1727.289377,1,224.087031
1703.814539,1,225.350595
1837.304692,1,226.563993
1825.272156,1,228.042399
1694.641691,1,229.234275
1677.226414,1,230.541969
1846.442198,1,231.839423
1815.674358,1,233.117353
1709.859752,1,234.329176
1721.346513,1,235.588743
1709.58135,1,236.823313
1702.439461,1,238.373947
1813.524108,1,239.681831
1721.710913,1,240.923295
1832.057999,1,242.24807
1726.33826,1,243.412939
1830.217459,1,244.693726
1714.86471,1,246.066435
1722.330517,1,247.363902
1850.913391,1,248.830454
1727.222701,1,249.940233
1727.510215,1,251.148427
513.615424,1,251.638351
1851.37384,1,252.865911
1736.369865,1,254.074922
