#{"t_start": 1619909963.6331468, "env_id": "octorotor-v0"}
r,l,t
1783.482345,1,3.664518
1713.245384,1,5.162939
1689.665173,1,6.717268
1578.831844,1,8.183134
1785.836936,1,9.691338
1760.305597,1,11.435985
1606.669164,1,13.565327
1785.109286,1,15.063097
1750.503706,1,16.512194
1788.24538,1,18.018818
1742.362477,1,19.48554
1532.227991,1,20.918621
1721.922823,1,22.394729
1784.809293,1,23.890161
1541.944363,1,25.301137
1736.692114,1,26.753634
1743.718182,1,28.275071
1675.151521,1,29.715717
1771.401446,1,31.274796
1736.362976,1,32.703776
1780.620645,1,34.092791
1670.363701,1,35.374723
1783.129363,1,36.653448
1794.087241,1,37.963186
1790.441503,1,39.267295
1771.097689,1,40.582648
1782.882106,1,41.869834
1697.66619,1,43.144125
1717.362842,1,44.417743
1749.574556,1,45.703599
1700.366377,1,46.998749
1679.385139,1,48.26542
1662.634271,1,49.538067
1672.633128,1,50.98805
1787.231572,1,52.460707
1668.53167,1,53.850409
1738.144247,1,55.213837
1755.846841,1,56.638595
1756.550689,1,58.061087
1734.549379,1,59.442921
1649.501928,1,61.447249
1830.095347,1,62.888599
1798.341759,1,64.357804
1752.611261,1,65.816963
1702.919,1,67.207078
1771.741217,1,68.618251
1680.757297,1,70.002402
1757.964476,1,71.514318
1740.985926,1,73.579133
1789.096708,1,75.299396
1769.366498,1,77.032722
1724.24286,1,78.623487
1689.036489,1,80.200148
1782.447473,1,81.968947
1731.501324,1,83.528337
1732.768401,1,85.284816
1711.299559,1,87.03153
1675.625011,1,88.992932
1708.582773,1,90.64181
1722.336688,1,92.034624
1793.838619,1,93.493671
1667.118817,1,95.134843
1787.877924,1,97.202884
1607.538289,1,98.973991
1779.215154,1,100.889181
1729.226942,1,102.880329
1777.39861,1,104.788985
1744.548626,1,106.346419
1814.399344,1,107.889122
1786.134916,1,109.311324
1788.579223,1,111.216132
1732.260589,1,113.217362
1778.842385,1,114.894724
1795.59678,1,116.396865
1740.736443,1,117.94894
1650.834398,1,119.469954
1764.811854,1,120.933086
1723.052799,1,122.59415
1791.551046,1,124.045172
1699.94552,1,125.69318
1713.665875,1,127.457588
1696.204375,1,129.335971
1666.725815,1,130.863806
1762.651297,1,132.342532
1744.034595,1,133.781379
1662.23736,1,135.276568
1607.685058,1,136.724218
1726.991627,1,138.139332
1805.364562,1,139.614166
1782.714062,1,141.049519
1782.49291,1,142.557486
1676.68694,1,143.996509
1609.970964,1,145.607978
1693.642836,1,147.04853
1787.014029,1,148.50763
1763.312266,1,149.982023
1712.90689,1,151.444503
1709.806638,1,152.934737
1781.688383,1,154.50807
1570.175707,1,155.960231
1742.059641,1,157.507368
1663.106963,1,158.979321
1657.013863,1,160.453664
1792.330639,1,161.935409
1760.205407,1,163.33926
1762.003648,1,164.710632
1720.822958,1,166.089772
1798.934605,1,167.507596
1741.880381,1,168.836545
1806.727744,1,170.179269
1789.687659,1,171.526588
1725.519422,1,173.07237
1731.944854,1,174.406561
1646.961938,1,175.695385
1645.401588,1,177.019391
1589.344082,1,178.311989
1768.968092,1,179.746002
1808.933227,1,181.267424
1802.391214,1,182.61364
1601.076478,1,183.909272
1717.661331,1,185.296679
1595.762733,1,186.636794
1774.975722,1,187.967935
1647.893253,1,189.241832
1782.873992,1,190.529975
1681.624629,1,191.837299
1730.794306,1,193.159583
1754.01447,1,194.494144
1664.332417,1,195.803861
1748.299103,1,197.104502
1728.02292,1,198.422117
1780.639294,1,199.75847
1749.719916,1,201.128937
1546.752975,1,202.783339
1653.748905,1,204.265319
1674.372798,1,205.619459
1772.527905,1,206.955247
1765.95904,1,208.259903
1731.965322,1,209.763582
1802.633358,1,211.147967
1581.364221,1,212.818064
1693.433904,1,214.489846
1633.074964,1,216.162077
1738.353703,1,217.817129
1757.643831,1,219.534355
1624.999022,1,221.170883
1748.797908,1,222.595578
1480.810898,1,223.844832
1568.237646,1,225.215615
1743.308036,1,226.626536
