#{"t_start": 1619980138.1505547, "env_id": "octorotor-v0"}
r,l,t
1844.394546,1,4.245915
1759.867258,1,5.812881
1860.318322,1,7.401089
1820.66501,1,9.051195
1783.252142,1,10.398199
1854.471652,1,11.968406
1491.369917,1,13.635499
1490.009889,1,15.237909
1577.944038,1,16.971255
1830.064846,1,18.504726
1701.062265,1,20.229365
1784.860799,1,21.811545
1853.350958,1,23.577248
1826.842888,1,25.308958
1457.025252,1,27.07523
1826.338814,1,28.859175
1592.241169,1,30.669804
1839.192712,1,32.47611
1842.092403,1,34.19025
1825.28973,1,35.957088
1607.582108,1,37.797378
1504.782093,1,39.622095
1491.297296,1,41.233098
1490.04544,1,43.826283
1800.298243,1,47.070425
1493.195751,1,49.347589
1535.779335,1,51.08717
1521.365936,1,53.291208
1772.019085,1,55.494469
1784.428267,1,57.799166
1497.119348,1,60.574704
1547.842975,1,62.577451
1805.266653,1,64.858705
1746.400915,1,67.326577
1786.992277,1,69.383904
1501.750177,1,71.221827
1861.681787,1,73.071999
1683.63953,1,74.762057
1837.593085,1,76.711595
1829.62174,1,78.626163
1827.004456,1,80.829333
1790.642056,1,82.643173
1840.140779,1,84.720081
1831.959962,1,87.014917
1732.804025,1,88.638714
1765.000148,1,90.732872
1844.63282,1,93.324543
1571.663512,1,94.965601
1322.968309,1,96.770114
1867.549945,1,98.827922
1836.292998,1,100.567716
1810.924706,1,102.516118
1494.577589,1,104.218133
1846.519384,1,106.042346
1679.095759,1,107.864476
1813.374011,1,109.619825
1830.352762,1,111.417223
1758.544977,1,113.12082
1828.517777,1,114.992173
1821.114008,1,116.861116
1478.524324,1,118.637033
1845.35423,1,120.508097
1485.711822,1,122.388893
1563.630043,1,124.560386
1596.966067,1,126.463897
1801.269022,1,128.465591
1843.384918,1,130.34004
1825.256139,1,132.164083
1594.236513,1,133.812939
1841.654328,1,135.719719
1858.048707,1,137.602552
1498.03872,1,139.45507
1848.946219,1,141.371817
1839.827091,1,143.059039
1845.068674,1,144.967012
1828.948838,1,146.749227
1831.094689,1,148.52252
1448.167536,1,150.27484
1832.83925,1,152.090845
1721.54309,1,154.045284
1780.214311,1,155.808357
1497.651384,1,157.732734
1531.582468,1,159.626935
1582.268001,1,161.535896
1835.933476,1,163.34836
1843.230649,1,165.12262
1826.321039,1,167.004313
1465.226906,1,168.840245
1834.346244,1,170.735154
1847.144507,1,172.582223
1760.432409,1,174.281616
1478.553355,1,176.251305
1724.224622,1,178.021509
1631.811264,1,179.893899
1825.49202,1,181.718219
1480.934279,1,183.425403
1830.908938,1,185.326505
1830.683957,1,187.025749
1750.917034,1,188.886497
1572.669004,1,190.74297
1705.703089,1,192.687587
1738.686204,1,194.598791
1832.617274,1,196.247033
1648.971654,1,198.102843
1783.137417,1,199.9645
1845.016955,1,201.861941
1790.9234,1,203.709491
1867.674403,1,205.400796
1789.559301,1,207.085765
1837.917502,1,208.911257
1846.252166,1,210.841776
