#{"t_start": 1619982562.2957923, "env_id": "octorotor-v0"}
r,l,t
1519.519261,1,4.046559
1802.864691,1,5.747603
1861.041683,1,7.15062
1645.20645,1,8.58721
249.242856,1,9.020867
1848.418991,1,10.499001
267.981033,1,10.85681
268.305218,1,11.240396
1856.161323,1,13.036857
257.967861,1,13.760239
1840.211344,1,15.694846
271.655031,1,16.111451
244.697669,1,16.536835
1852.742833,1,18.227742
272.983626,1,18.745312
1850.682667,1,20.431664
1863.054695,1,22.146353
1840.598331,1,23.816925
1859.940723,1,25.50324
1855.374019,1,27.323059
275.276669,1,27.888937
264.255669,1,28.332469
301.984089,1,28.821325
1286.856616,1,30.587707
298.826361,1,31.121412
1418.007761,1,32.778848
1844.080115,1,34.632249
1478.924843,1,36.274411
244.04541,1,36.702613
1845.916475,1,38.382122
1847.02634,1,40.189451
1588.299248,1,41.920517
267.77237,1,42.403292
264.529021,1,42.961406
261.048735,1,43.483174
1846.42848,1,45.178738
1631.246766,1,46.849242
1845.401358,1,48.622708
278.915627,1,49.096091
1857.358568,1,50.995745
1859.706609,1,52.800047
267.855988,1,53.249866
1370.210885,1,54.864509
1857.893373,1,56.533572
1421.977925,1,58.115846
1855.672559,1,60.065881
1857.03844,1,61.709084
1387.197455,1,63.357098
1847.145929,1,65.106393
264.136311,1,65.558662
1853.444691,1,67.104432
1850.747527,1,68.791163
274.954295,1,69.215969
1859.470994,1,70.907168
305.009079,1,71.395378
1853.839415,1,73.162085
1857.712607,1,74.971947
1862.854429,1,76.834809
1855.207592,1,78.730105
1854.840827,1,80.517957
1844.657139,1,82.378578
1851.915652,1,84.177887
1828.626092,1,86.071191
262.62685,1,86.467865
1847.600214,1,88.292903
1423.078214,1,90.136637
1690.290646,1,91.856781
1856.918125,1,93.904437
1687.205572,1,95.542172
1852.131236,1,97.107968
260.640532,1,97.51722
1829.107345,1,99.322293
1864.979014,1,100.902154
1713.609216,1,102.511464
253.686818,1,102.988397
1573.233037,1,104.463544
1854.450916,1,106.100154
1768.260934,1,107.912142
1398.392204,1,109.51371
1517.050828,1,111.150163
296.616915,1,111.671837
1857.153748,1,113.190506
1854.09539,1,114.912487
270.440408,1,115.450277
296.27839,1,115.891576
1842.873025,1,117.568781
257.694468,1,117.998596
1375.436878,1,119.721344
1829.251452,1,121.239489
257.385538,1,121.752112
